název = ulice;
Maják (Brno);Dusíkova Brno
Èervený kopec (Brno);Kamenná Brno
Vodní - Leitnerova (Brno);Vodní_Leitnerova, Brno
Rozárka (Brno);Školní, Brno
Vlasty Fialové (Brno);Vlasty Fialové (Brno)
Kumpoštova (Brno);Kumpoštova (Brno)
Kamenomlýnská (Brno);Kamenomlýnská (Brno)
Trtílkova (Brno);Trtílkova (Brno)
Rerychova (Brno);Rerychova (Brno)
Broskvoòová II (Brno);Broskvoòová II (Brno)
Sevastopolská (Brno);Sevastopolská (Brno)
Karpatská (Brno);Karpatská (Brno)
Kyjevská (Brno);
Brechtova (Brno);
Bieblova II (Brno);
Bieblova I (Brno);
ZOO Brno - Trampolínové centrum (Brno);
ZOO Brno - Lanové centrum Lanáèek (Brno);
ZOO Brno - Africká vesnice (Brno);
ZOO Brno - U Dželád (Brno);
ZOO Brno - Dìtské høištì Ekokoutek (Brno);
ZOO Brno- dìtská ZOO (Brno);
ZOO Brno - U Vlkù (Brno);
ZOO Brno - U Papouškù (Brno);
Jandáskova (Brno);
U køivé vrtule aeroklub Medlánky (Brno);
Bratøí Køièkù (Brno);
Kárníkova (Brno);
Petra Køivky (Brno);
Travní (Brno);
Arménská (Brno);
Gruzínská (Brno);
Moldavská (Brno);
Ukrajinská (Brno);
Pod Nemocnicí (Brno);
Pod Nemocnici nad Tatranem (Brno);
Okrouhlá II nad Tatranem (Brno);
Souhrady (Brno);
Vedlejší (Brno);
Okrouhlá (Brno);
Mikuláškovo námìstí II (Brno);
Oderska III (Brno);
Oderská II (Brno);
Oderská (Brno);
Bakalovo nábøeží (Brno);
Vsetínská Rennéská (Brno);
Celní (Brno);
Strž (Brno);
Žabí (Brno);
Teyschlova (Brno);
Kamechy II (Brno);
Kamechy (Brno);
Chvalovka (Brno);
Kociánka (Brno);
Vejrostova (Brno);
Fleischnerova (Brno);
Skácelova (Brno);
Anthropos (Brno);
Kopretinová (Brno);
U Velké ceny II (Brno);
U Velké ceny (Brno);
Hlaváèkova (Brno);
Slovanské námìstí (Brno);
Záhøebská II (Brno);
Záhøebská (Brno);
Ikea Brno - Vomáèkova (Brno);
Holásecká jezera - U Potoka (Brno);
Jahodová (Brno);
Vondrákova (Brno);
Opálkova (Brno);
Pod Horkou (Brno);
Zderadova (Brno);
Zvìøinova (Brno);
Odbojáøská (Brno);
U Luhu (Brno);
Rekreaèní (Brno);
Dolní louky (Brno);
Pastviny (Brno);
Dìtské dopravní høištì (Brno);
Absolonova (Brno);
Øezáèova (Brno);
Urbánkova (Brno);
Habøinová (Brno);
U Hrocha (Brno);
Veslaøská (Brno);
Elišky Krásnohorské (Brno);
Pøední (Brno);
Blatouchová (Brno);
Kovácká (Brno);
Park Øehoøova (Brno);
Mendlovo námìstí (Brno);
Bøezová (Brno);
Obilní trh (Brno);
