"čajovny, kavarny, cukrarny",adresa,kategorie
Jedna Báseň wine & coffee bar,"Sukova 2, Brno",cukrarna
Pizza Coloseum Brno,"Vídeňská 223/1, Brno",cukrarna
Siesta Lobby and Wine restaurant,"Husova 200/16, Brno",cukrarna
Vinárna Perkmistr,"Dusíkova 910/17, Brno",cukrarna
Kavárna Punkt.,"Bayerova 7, Brno",cukrarna
Kavárna De Fleurs,"Jezuitská 17/15, Brno",cukrarna
Bistro Marináda Store,"Jiráskova třída 220/15, Brno",cukrarna
Kavárna Park Lane Café,"Lužánecká 1885/4a, Brno",cukrarna
Kavárna Tři ocásci,"třída Kapitána Jaroše 18, Brno",cukrarna
Kavárna Café Brussel,"Pekařská 364/76, Brno",cukrarna
Kavárna Mezzanine,"Údolní 435/15, Brno",cukrarna
Kavárna Café Momenta,"Zelný trh 314/2, Brno",cukrarna
Kavárna Klafé,"Klácelova 281/1a, Brno",cukrarna
Kavárna Coffee Fusion,"Jánská 460/25, Brno",cukrarna
Kavárna Café Atlas,"Žerotínovo náměstí 533/6, Brno",cukrarna
Kavárna Cafe Podnebi,"Údolní 222/5, Brno",cukrarna
Kavárna Skog,"Dominikánské náměstí 187/5, Brno",cukrarna
Kavárna Caffé Fratelli,"Průchodní 377/2 , Brno",cukrarna
The Cat Café,"Martinkova 7, Brno",cukrarna
Art Café Bar Morgal,"Moravské náměstí 1a, Brno",cukrarna
Veselá čajovna,"Kobližná 5, Brno",cukrarna
čajovna Leyaly,"Koliště 1907/3, Brno",cukrarna
Kavárna V Melounovém cukru,"Františkánská 494/17, Brno",cukrarna
Coffee Bar Mymika,"Lidická 15, Brno",cukrarna
Bistro Napoli,"Jundrovská 43, Brno",cukrarna
Čajovna za zrcadlem,"Jaselská 16, Brno",cukrarna
Sampalero dětská kavárna a bazar,"Jezuitská 585/4, Brno",cukrarna
Campus river,"Palachovo náměstí 726/2, Brno",cukrarna
Cafe restaurant Tivoli,"Konečného náměstí 539/6, Brno",cukrarna
Kavárna Spolek,"Orlí 517/22 , Brno",cukrarna
Kavárna Vídeňka Café,"Vídeňská 849/15, Brno",cukrarna
Kavárna Liberty cafe,"Radnická 378/7, Brno",cukrarna
Zahrada Ambrosia,"Údolní 599/37 , Brno",cukrarna
Kavárna Caffé del Saggio,"Helceletova 232/2, Brno",cukrarna
Podnik café bar,"Peroutková 5, Brno",cukrarna
Kavárna Pole,"Durďákova 5, Brno",cukrarna
Bon Bon café,"náměstí Míru 374/2 , Brno",cukrarna
Cafe Bar Paparazzi,"Joštova 4, Brno",cukrarna
Monty Jack Café bar,"Jana Uhra 168/10, Brno",cukrarna
Cukrárna-kavárna Smile,"náměstí 28. dubna 10/40, Brno",cukrarna
Point Café,"náměstí Svobody 72/8, Brno",cukrarna
Kavárna Redwall Café    ,"Gajdošova 4454/10 , Brno",cukrarna
Kavárna Tu cafe,"Nádražní 2a, Brno",cukrarna
Kavárna Chat Noir       ,"Lidická 19, Brno",cukrarna
Kavárna Bezcukrárna     ,"Pekárenská 12, Brno",cukrarna
Pelíšek - kočičí kavárna,"tř. Kpt. Jaroše 37A, Brno",cukrarna
J&T café Brno,"Trnitá 500/7, Brno",cukrarna
Kavárna No Feet,"Vaňkovo nám. 1a, Brno",cukrarna
Da Vinci,"Kozí 8, Brno",cukrarna
Bukovský kavárna - cukrářství,"Minská 2, Brno",cukrarna
Café & Bistro Bílá Vrána,"Kristenova 1, Brno",cukrarna
Sound café & bar Vyhlídka,"náměstí Svobody 86/17, Brno",cukrarna
Yacht Caffe Vergnano,"tř. Kpt. Jaroše 28, Brno",cukrarna
Kavárna Café Práh,"Ve Vaňkovce 462/1, Brno",cukrarna
Kavárna a Pekařství Zastávka,"Táborská 232, Brno",cukrarna
Gourmet Cafe,"Škrobárenská 502/1, Brno",cukrarna
Kavárna Divná paní,"Mečová 6, Brno",cukrarna
Kavárna Šestá větev,"Moravské náměstí 12, Brno",cukrarna
Čajovna Utopia,"Divadelní 3, Brno",cukrarna
Café Flexaret,"Kopečná 2/21, Brno",cukrarna
Jet Café,"náměstí Svobody 86/17, Brno",cukrarna
Kavárna Panksy,"Jaselská 17, Brno",cukrarna
Brumli Caffé,"Durďákova 4, Brno",cukrarna
