,"čajovny, kavarny, cukrarny",adresa,kategorie,lat,lon
0,Jedna Báseň wine & coffee bar,"Sukova 2, Brno",cukrarna,49.1960825,16.6123312
1,Pizza Coloseum Brno,"Vídeňská 223/1, Brno",cukrarna,49.1860734,16.5955074
2,Siesta Lobby and Wine restaurant,"Husova 200/16, Brno",cukrarna,49.1949802,16.6054832
3,Vinárna Perkmistr,"Dusíkova 910/17, Brno",cukrarna,49.2359243,16.6268417
4,Kavárna Punkt.,"Bayerova 7, Brno",cukrarna,49.2062058,16.6020484
5,Kavárna De Fleurs,"Jezuitská 17/15, Brno",cukrarna,49.1972395,16.6112136
6,Bistro Marináda Store,"Jiráskova třída 220/15, Brno",cukrarna,0.0,0.0
7,Kavárna Park Lane Café,"Lužánecká 1885/4a, Brno",cukrarna,49.2042829,16.608475
8,Kavárna Tři ocásci,"třída Kapitána Jaroše 18, Brno",cukrarna,49.2027317,16.6110428
9,Kavárna Café Brussel,"Pekařská 364/76, Brno",cukrarna,49.1917745,16.5975518
10,Kavárna Mezzanine,"Údolní 435/15, Brno",cukrarna,49.1967754,16.6007577
11,Kavárna Café Momenta,"Zelný trh 314/2, Brno",cukrarna,49.1925502,16.6096839
12,Kavárna Klafé,"Klácelova 281/1a, Brno",cukrarna,49.20088,16.5830372
13,Kavárna Coffee Fusion,"Jánská 460/25, Brno",cukrarna,49.1950311,16.6117124
14,Kavárna Café Atlas,"Žerotínovo náměstí 533/6, Brno",cukrarna,49.1981806,16.6026635
15,Kavárna Cafe Podnebi,"Údolní 222/5, Brno",cukrarna,49.1960434,16.6021429
16,Kavárna Skog,"Dominikánské náměstí 187/5, Brno",cukrarna,49.1939681,16.6073197
17,Kavárna Caffé Fratelli,"Průchodní 377/2 , Brno",cukrarna,49.1932072,16.6090957
18,The Cat Café,"Martinkova 7, Brno",cukrarna,49.2091628,16.6132928
19,Art Café Bar Morgal,"Moravské náměstí 1a, Brno",cukrarna,49.1978992,16.6083609
20,Veselá čajovna,"Kobližná 5, Brno",cukrarna,49.1954517,16.6099376
21,čajovna Leyaly,"Koliště 1907/3, Brno",cukrarna,49.200309,16.6086911
22,Kavárna V Melounovém cukru,"Františkánská 494/17, Brno",cukrarna,49.1929458,16.6118707
23,Coffee Bar Mymika,"Lidická 15, Brno",cukrarna,49.201404,16.6072867
24,Bistro Napoli,"Jundrovská 43, Brno",cukrarna,49.2146449,16.558287
25,Čajovna za zrcadlem,"Jaselská 16, Brno",cukrarna,49.1988443,16.6007044
26,Sampalero dětská kavárna a bazar,"Jezuitská 585/4, Brno",cukrarna,49.1974065,16.6125843
27,Campus river,"Palachovo náměstí 726/2, Brno",cukrarna,49.1755535,16.5665498
28,Cafe restaurant Tivoli,"Konečného náměstí 539/6, Brno",cukrarna,49.2051272,16.5941361
29,Kavárna Spolek,"Orlí 517/22 , Brno",cukrarna,49.1939461,16.6124283
30,Kavárna Vídeňka Café,"Vídeňská 849/15, Brno",cukrarna,49.1839806,16.5953334
31,Kavárna Liberty cafe,"Radnická 378/7, Brno",cukrarna,49.1933168,16.60881
32,Zahrada Ambrosia,"Údolní 599/37 , Brno",cukrarna,49.198081,16.5974587
33,Kavárna Caffé del Saggio,"Helceletova 232/2, Brno",cukrarna,49.1986995,16.5865766
34,Podnik café bar,"Peroutková 5, Brno",cukrarna,49.1922909,16.6073843
35,Kavárna Pole,"Durďákova 5, Brno",cukrarna,49.2035373,16.6186003
36,Bon Bon café,"náměstí Míru 374/2 , Brno",cukrarna,49.2022411,16.5799998
37,Cafe Bar Paparazzi,"Joštova 4, Brno",cukrarna,49.1978355,16.6059576
38,Monty Jack Café bar,"Jana Uhra 168/10, Brno",cukrarna,49.2025137,16.5962146
39,Cukrárna-kavárna Smile,"náměstí 28. dubna 10/40, Brno",cukrarna,49.2265714,16.5299097
40,Point Café,"náměstí Svobody 72/8, Brno",cukrarna,49.1949764,16.6089047
41,Kavárna Redwall Café    ,"Gajdošova 4454/10 , Brno",cukrarna,49.2013423,16.6430626
