"pivnice,bary,pivovary",adresa,kategorie
Stopkova Plzeňská Pivnice,"Česká 163/5, Brno",pivnice
Pivní burza Jánská,"Jánská 467/16, Brno",pivnice
Pivní burza Veveří,"Veveří 52/21, Brno",pivnice
Jedna Báseň wine & coffee bar,"Sukova 2, Brno",pivnice
Lloyd's,"Štefánikova 134/64, Brno",pivnice
Pivnice a bar Pod Studnou,"Orlí 491/16, Brno",pivnice
Jakoby,"Jakubské náměstí 128/6, Brno",pivnice
Bogota,"Nádražní 686/9, Brno",pivnice
Padowetz,"Masarykova 413/34, Brno",pivnice
Valoria,"Bohunická 292/2, Brno",pivnice
Klub cestovatelů Brno,"Veleslavínova 183/14, Brno",pivnice
Siesta Lobby and Wine restaurant,"Husova 200/16, Brno",pivnice
Retro Consistorium,"Mečová 4, Brno",pivnice
Pivnice U Čápa,"Obilní trh 68/10, Brno",pivnice
Restaurace Stavba,"Grohova 2, Brno",pivnice
U Bílého beránka,"Štefánikova 85/16, Brno",pivnice
Esport bar 21,"Jánská 21, Brno",pivnice
Kohout NA VÍNĚ,"Malinovského náměstí 2, Brno",pivnice
"Bar, který neexistuje","Dvořákova 24/1 , Brno",pivnice
Kavárna Skog,"Dominikánské náměstí 187/5, Brno",pivnice
Steakový a pivní bar Pod Lékárnou BRNO,"Slovákova 350/1, Brno",pivnice
The Erin's Flag Irish Pub,"Biskupská 3, Brno",pivnice
Montenegro pub,"Kotlářská 30, Brno",pivnice
Art Café Bar Morgal,"Moravské náměstí 1a, Brno",pivnice
U Kocoura,"Biskupská 6, Brno",pivnice
Bar Zóna 59,"Kounicova 59, Brno",pivnice
Pivnice U Čolka,"Tábor 3, Brno",pivnice
Campus river,"Palachovo náměstí 726/2, Brno",pivnice
Pivovarská restaurace U Richarda  ,"Ríšova 64/12, Brno",pivnice
Suzie's Steak pub,"Kounicova 681/10, Brno",pivnice
Zastávka - pivnice malých pivovarů,"Úvoz 78, Brno",pivnice
Pivnice Pegas,"Jiráskova 244/44, Brno",pivnice
Pizzerie Ratejna,"Dvořákova 588/13, Brno",pivnice
Parodie,"Vachova 8, Brno",pivnice
U Richarda,"Údolní 223/7, Brno",pivnice
2M´s ALOHA cocktail & café bar    ,"Kozí 19/10, Brno",pivnice
Pivovarská Starobrno,"Mendlovo náměstí 158/20, Brno",pivnice
Dalešická pivnice U Oslů,"Sokolská 361/10, Brno",pivnice
Sportbar Arena,"Hybešova 259/21, Brno",pivnice
Pub U Dvou přátel,"Tábor 25, Brno",pivnice
Sborovna,"Botanická 1, Brno",pivnice
Grand restaurant Zelená Kočka,"Kounicova 57/83, Brno",pivnice
Restaurace U Třech Čertů,"Dvořákova 645/6, Brno",pivnice
Bar The Immigrant,"Veveří ev.č. 57, Brno",pivnice
U Dřeváka,"Dřevařská 22, Brno",pivnice
Metro-Bar,"Pekařská 24, Brno",pivnice
Pivní šenk Čtyři růže,"Veveří 32, Brno",pivnice
Mamut Pub,"Bašty 416/8, Brno",pivnice
Modrá růže - Pivní a steakový bar,"Kounicova 2, Brno",pivnice
Restaurace Pivní stáj,"Veveří 38 , Brno",pivnice
Zelená Kočka Pivárium,"Dvořákova 633/3, Brno",pivnice
Pivovarský restaurant Zelená kočka,"Solniční 145/8, Brno",pivnice
První Doubravnická restaurace,"Milady Horákové 1, Brno",pivnice
Cohiba Club Conti,"Kounicova 680/6 , Brno",pivnice
Bar Naproti,"Jana Uhra 162/4, Brno",pivnice
Sky Ice Bar,"Poštovská 1, Brno",pivnice
Cafe Bar Paparazzi,"Joštova 4, Brno",pivnice
Super Panda Circus,"Šilingrovo náměstí 257/3, Brno",pivnice
Spodní bar,"Jánská 9, Brno",pivnice
Restaurace a pivnice Zannam,"Selská 1057/76, Brno",pivnice
Konečná 5 Bar Brno,"Merhautova 234, Brno",pivnice
Runway cocktail bar,"Jezuitská 687/6, Brno",pivnice
Da Vinci,"Kozí 8, Brno",pivnice
Svatovavřinecký dvůr,"Palackého náměstí 79/9, Brno",pivnice
Sound café & bar Vyhlídka,"náměstí Svobody 86/17, Brno",pivnice
Pivnice Lokálek,"Kotlářská 265/5, Brno",pivnice
Pivnice JBM Brew Lab,"Grohova 17, Brno",pivnice
Pivnice U Červeného Míče,"Staňkova 15, Brno",pivnice
Malej Velkej Bar,"Jakubské náměstí 101/2, Brno",pivnice
Pivnice Dva Blázni na poličce,"Lidická 5A, Brno",pivnice
Pivnice Qíčepu,"Kubíčkova 8, Brno",pivnice
