,"pivnice,bary,pivovary",adresa,kategorie,lat,lon
0,Stopkova Plzeňská Pivnice,"Česká 163/5, Brno",pivnice,49.1922443,16.6113382
1,Pivní burza Jánská,"Jánská 467/16, Brno",pivnice,49.194734,16.6116452
2,Pivní burza Veveří,"Veveří 52/21, Brno",pivnice,49.2003519,16.6007091
3,Jedna Báseň wine & coffee bar,"Sukova 2, Brno",pivnice,49.1960825,16.6123312
4,Lloyd's,"Štefánikova 134/64, Brno",pivnice,49.2160686,16.5997496
5,Pivnice a bar Pod Studnou,"Orlí 491/16, Brno",pivnice,49.1932786,16.6113109
6,Jakoby,"Jakubské náměstí 128/6, Brno",pivnice,49.1969623,16.6085328
7,Bogota,"Nádražní 686/9, Brno",pivnice,49.1893006,16.6085662
8,Padowetz,"Masarykova 413/34, Brno",pivnice,49.1912913,16.6108458
9,Valoria,"Bohunická 292/2, Brno",pivnice,49.163283,16.604578
10,Klub cestovatelů Brno,"Veleslavínova 183/14, Brno",pivnice,49.2206412,16.5972812
11,Siesta Lobby and Wine restaurant,"Husova 200/16, Brno",pivnice,49.1949802,16.6054832
12,Retro Consistorium,"Mečová 4, Brno",pivnice,49.1930162,16.6077478
13,Pivnice U Čápa,"Obilní trh 68/10, Brno",pivnice,49.1995896,16.5981383
14,Restaurace Stavba,"Grohova 2, Brno",pivnice,49.2012246,16.5991113
15,U Bílého beránka,"Štefánikova 85/16, Brno",pivnice,49.2090961,16.6038115
16,Esport bar 21,"Jánská 21, Brno",pivnice,49.1948553,16.611308
17,Kohout NA VÍNĚ,"Malinovského náměstí 2, Brno",pivnice,49.1961978,16.6146741
18,"Bar, který neexistuje","Dvořákova 24/1 , Brno",pivnice,49.1958786,16.6098429
19,Kavárna Skog,"Dominikánské náměstí 187/5, Brno",pivnice,49.1939681,16.6073197
20,Steakový a pivní bar Pod Lékárnou BRNO,"Slovákova 350/1, Brno",pivnice,49.2001193,16.6017438
21,The Erin's Flag Irish Pub,"Biskupská 3, Brno",pivnice,49.1919884,16.6061613
22,Montenegro pub,"Kotlářská 30, Brno",pivnice,49.2070934,16.6022945
23,Art Café Bar Morgal,"Moravské náměstí 1a, Brno",pivnice,49.1978992,16.6083609
24,U Kocoura,"Biskupská 6, Brno",pivnice,49.1916221,16.6060235
25,Bar Zóna 59,"Kounicova 59, Brno",pivnice,49.2061533,16.596465
26,Pivnice U Čolka,"Tábor 3, Brno",pivnice,49.2107362,16.5869792
