Název;Adresa
Mìstský plavecký stadion Lužánky;Sportovní 486/4, 602 00
Aquapark Kohoutovice;Chalabalova 946/2a 623 00 Brno
Sportovní a rekreaèní areál Kraví hora;Údolní 76 602 00 Brno
Koupalištì Zábrdovice;Zábrdovická 158/13 615 00 Brno
Koupalištì Riviéra;Bauerova 322/7 603 00 Brno
Pøírodní koupací biotop Brno-jih;K Lávce 749/13 619 00 Brno
Masarykùv okruh;Masarykùv okruh 201 66481 Ostrovaèice
DRFG arena;Køídlovická 911/34 603 00 Brno
Mìstská hala Vodova;Vodova 108 612 00 Brno
Mìstský fotbalový stadion Srbská;B. Nìmcové 2299/47 612 00 Brno
Mìstský baseballový stadion;Sokolova 2h 616 00 Brno
Centrum sportovních aktivit VUT Brno;Technická 2896/2 616 69 Brno
Boby Centrum – Laser Show Hall;Sportovní 2A 602 00 Brno
Sportovnì-rekreaèní areál Hnìvkovského;Komárov 617 00 Brno
Sokolovna a spoleèenské centrum Stadion;Kounicova 20 a 22  602 00 Brno
Posilovna Velký Prùvan;Vídeòská 28177
Posilovna Malý Prùvan;Celní 639 00
AZ FITNESS s.r.o;Pražákova 1008/69
BIG ONE FITNESS;Václavská 6
City Gym Brno;Bìhounská 22/24
Energy fitness club;Holandská 878/2
posilovna Hybeska;Hybešova 437/46
Fitko Kameòák;Oblá 469
Fitness 3000;Divadelní 603
AFIT centrum BRNO;Táborská 456/157
MišMaš Fitness Brno;Gajdošova 4392/7
BIG ONE FITNESS Club;Benešova 14
Contours fitness;Orlí 482/3
ELITE Wellness & Fitness centrum;Husova 200
Ladie´s GYM;Palackého tø. 516
Best Gym Horova;Horova 99
Fitness Boby;Bobycentrum, Sportovní 559/2A
Fitness centrum IRON GYM;Øezáèova 805/5
Fitness Progym;Kounicova 22/77b
Weisser Sport Centrum s.r.o.;Hrnèíøská 573
Lázeòské a relaxaèní centrum Rašínova;Rašínova 643/12
Fitness Petra;Labská 269
Fitness club ZONE4YOU;tø. Gen. Píky 2026/11
Power Fitness;Pekaøská 25
Euforia Fitness;Vodova 336/108
Fitness EMS;Olomoucká 256/6
OLD STYLE GYM;Cejl 107
HULK GYM;Sportovní 581
BFIT.CZ;Veveøí 455/8
Jumping Fitness Brno;Rašínova 12
SmartGym posilovna tuøany;Východní 10
Be Strong ;· Hudcova 504
Fitness Motivace;Kounicova 46/48
Blackfield Gym;nám. SNP 32/1140
Body Care - Sportovní a vzdìlávací centrum;Palackého tø. 1891/162
Spinning & Fitness;Kounicova 685/20
STAY FIT Brno;Stará osada 3984
FRIENDS FITNESS;Arbesova 12
Body Diamond;Údolní 25
Fitness u kostela;nám. 28. dubna 15
Fitness Motivace;Sportovní areál TJ Tesla, Halasovo nám. 7
Blue Gym;Kotláøská 989/51a
BodyTec Brno;Smetanova 284
Fitness Evy Šabatové;Horníkova 2485/34
Posilovna ORC;Foerstrova 3046/2B
Bodyactive studio;Palackého tøída 3063/45
Fitness 2000;Blatnická 4383
beFIT;81, Lidická 960
FIGURALINE - Fitness a rekondièní studio pro ženy;Tìshnohlídkova 964/11
Fortis Training;Nové Semilasso, Palackého tø. 3048/124
BODY EXPRESS;Pražákova 1008/69
Gold's Gym Brno;Hapalova 23
Matrix Gym;tø. Kpt. Jaroše 28
Fit4All;Chironova 8
Gym&Joy;Špitálka 124
Fit Centrum Machina;Kolejní 2905
Venkovní posilovna Habøinova;Habøinova 779
SPCgym;76, Cejl 29
InCore Fitness;Rokytova 4259/1
FITINN Fitnessstudio;Nádražní 681
VUTGYM;Údolní 244
BodyBody Brno;Nové sady 25
Miss Women Fitness;Orlí 542/27
Hany bany Brno - Komín;Èichnova 1294/23a
Elite Gym Brno Training Centre;Zábrdovická 25
FITNESS NA KONEÈNÉ;Libušina tø. 825
Campea Fitzone;Studentská 1
KANTORFITNESS;Dobrovského 96
CrossFit NewPark;Heršpická 6
73GYM BRNO;Pálavské nám. 5
SPORTMAX;Štouraèova 1154/1a
Wanderfit - EMS cvièení Brno;M. Horákové 25
Czech Virus Gym;Kubíèkova 1080/6
Ultimate Gym Brno;Masarova 2428/9
Eduard Knoll;Masná 403/110
Soukromé Fitstudio;Masná 403
Sportareál Družstevní;Družstevní 1195
Hala Rosnièka;Horákova 3080
Jumping Centrum Brno;Husova 16
Orel jednota Brno - Bohunice;Hranièky 301
Tìlocvièna Pod Hradem;Údolní 221
PS fitness;Tuøanka 1222/115
PP studio Brno - Horní Heršpice;Vodaøská 232
SPINNING-BRNO.cz; 157, Táborská 456
Nové Fitness;Komárovská 466
Osobní fitness trenér Michal Hatony;Vídeòská 281/77
CONTOURS FITNESS IBC Brno;Pøíkop 4
Fitpeople Modøice;Brnìnská 404
MONSTER Gym;Tuøanka 1
Petr Sedláèek fitness trenér;Nádražní 681/2a
Muay Thai;Dornych 102
Fit-studio Eva;Vodaøská 232
JETSAAM GYM BRNO;Pálavské nám. 4246/5
mamaGYM Brno;Špitálka 35
Yoga Brno - Fitness studio s.r.o.;Dobrovského 96/29
TJ TESLA BRNO;Halasovo nám. 826
4Comfort;Fryèajova 698/29
COREGYM - Jan Florian;Francouzská 421
Rehabfit Brno Kamechy 1025/55;Kamechy 1025/55
Gym Blue Sun;Jihomoravské nám. 3/3
Eva Veselá;Jílová 168
Wellness Centrum Martiny Zábranské;M. Horákové 9
