,Název,Adresa,lat,lon
0,Městský plavecký stadion Lužánky,"Sportovní 486/4, 602 00",49.2144398,16.606964
1,Aquapark Kohoutovice,Chalabalova 946/2a 623 00 Brno,0.0,0.0
2,Sportovní a rekreační areál Kraví hora,Údolní 76 602 00 Brno,49.2017752,16.5854724
3,Koupaliště Zábrdovice,Zábrdovická 158/13 615 00 Brno,49.2022681,16.6333387
4,Koupaliště Riviéra,Bauerova 322/7 603 00 Brno,0.0,0.0
5,Přírodní koupací biotop Brno-jih,K Lávce 749/13 619 00 Brno,49.1694792,16.6201724
6,Masarykův okruh,Masarykův okruh 201 66481 Ostrovačice,49.2039897,16.4429027
7,DRFG arena,Křídlovická 911/34 603 00 Brno,0.0,0.0
8,Městská hala Vodova,Vodova 108 612 00 Brno,49.22768765,16.58399005507667
9,Městský fotbalový stadion Srbská,B. Němcové 2299/47 612 00 Brno,49.3000097,16.5423197
10,Městský baseballový stadion,Sokolova 2h 616 00 Brno,49.1674664,16.6239185
11,Centrum sportovních aktivit VUT Brno,Technická 2896/2 616 69 Brno,0.0,0.0
12,Boby Centrum – Laser Show Hall,Sportovní 2A 602 00 Brno,49.2121747,16.6080133
13,Sportovně-rekreační areál Hněvkovského,Komárov 617 00 Brno,49.1780597,16.624729
14,Sokolovna a společenské centrum Stadion,Kounicova 20 a 22  602 00 Brno,0.0,0.0
15,Posilovna Velký Průvan,Vídeňská 28177,50.0203894,14.4639779
16,Posilovna Malý Průvan,Celní 639 00,0.0,0.0
17,AZ FITNESS s.r.o,Pražákova 1008/69,49.1761659,16.6055936
18,BIG ONE FITNESS,Václavská 6,50.1748663,14.742232059483516
19,City Gym Brno,Běhounská 22/24,49.1967493,16.609068
20,Energy fitness club,Holandská 878/2,49.1802622,16.6057333
21,posilovna Hybeska,Hybešova 437/46,50.0935573,14.4597837
22,Fitko Kameňák,Oblá 469,49.17593495,16.555263949999997
23,Fitness 3000,Divadelní 603,49.1948964,16.6142777
24,AFIT centrum BRNO,Táborská 456/157,50.0627297,14.44044
25,MišMaš Fitness Brno,Gajdošova 4392/7,49.200996,16.6450623
26,BIG ONE FITNESS Club,Benešova 14,49.1932651,16.6135442
27,Contours fitness,Orlí 482/3,49.1932642,16.610245
28,ELITE Wellness & Fitness centrum,Husova 200,50.4353542,15.3600282
29,Ladie´s GYM,Palackého tř. 516,49.094463,15.8916535
30,Best Gym Horova,Horova 99,49.5960814,17.2891736
31,Fitness Boby,"Bobycentrum, Sportovní 559/2A",49.2121747,16.6080133
32,Fitness centrum IRON GYM,Řezáčova 805/5,49.2243694,16.5579929
33,Fitness Progym,Kounicova 22/77b,49.2112777,16.5918188
34,Weisser Sport Centrum s.r.o.,Hrnčířská 573,49.4149356,14.6585948
35,Lázeňské a relaxační centrum Rašínova,Rašínova 643/12,49.1970936,16.6076683
36,Fitness Petra,Labská 269,49.1710219,16.5595604
37,Fitness club ZONE4YOU,tř. Gen. Píky 2026/11,0.0,0.0
38,Power Fitness,Pekařská 25,50.1872889,14.6587447
39,Euforia Fitness,Vodova 336/108,49.2268542,16.5840969
40,Fitness EMS,Olomoucká 256/6,49.1903035,16.6336288
41,OLD STYLE GYM,Cejl 107,49.2011143,16.6258407
42,HULK GYM,Sportovní 581,50.0682984,14.4540981
43,BFIT.CZ,Veveří 455/8,49.1992317,16.6029042
44,Jumping Fitness Brno,Rašínova 12,49.1970936,16.6076683
45,SmartGym posilovna tuřany,Východní 10,49.1438602,16.6712321
46,Be Strong ,· Hudcova 504,49.236315,16.5818891
47,Fitness Motivace,Kounicova 46/48,49.2017005,16.6018492
48,Blackfield Gym,nám. SNP 32/1140,0.0,0.0
49,Body Care - Sportovní a vzdělávací centrum,Palackého tř. 1891/162,49.094463,15.8916535
50,Spinning & Fitness,Kounicova 685/20,49.2031581,16.6007047
51,STAY FIT Brno,Stará osada 3984,49.2021915,16.6402072
52,FRIENDS FITNESS,Arbesova 12,49.2263086,16.6267911
53,Body Diamond,Údolní 25,48.8539263,16.77518
54,Fitness u kostela,nám. 28. dubna 15,49.2262652,16.5293434
55,Fitness Motivace,"Sportovní areál TJ Tesla, Halasovo nám. 7",0.0,0.0
56,Blue Gym,Kotlářská 989/51a,49.2076526,16.6041096
57,BodyTec Brno,Smetanova 284,49.2038075,16.6064278
58,Fitness Evy Šabatové,Horníkova 2485/34,49.2130784,16.6820408
59,Posilovna ORC,Foerstrova 3046/2B,49.2163461,16.5789191
60,Bodyactive studio,Palackého třída 3063/45,49.2228736,16.5950714
61,Fitness 2000,Blatnická 4383,49.2087542,16.6578667
62,beFIT,"81, Lidická 960",0.0,0.0
63,FIGURALINE - Fitness a rekondiční studio pro ženy,Těshnohlídkova 964/11,0.0,0.0
64,Fortis Training,"Nové Semilasso, Palackého tř. 3048/124",0.0,0.0
65,BODY EXPRESS,Pražákova 1008/69,49.1761659,16.6055936
66,Gold's Gym Brno,Hapalova 23,49.251334,16.587889
67,Matrix Gym,tř. Kpt. Jaroše 28,0.0,0.0
68,Fit4All,Chironova 8,49.1760833,16.548354
69,Gym&Joy,Špitálka 124,48.9446781,17.1759709
