,MČ,Ulice,LAT,LNG,Typ
0,BRNO-BOHUNICE,Arménská 11,49.167187283981,16.583077814717,PLA
1,BRNO-BOHUNICE,Arménská 11,49.167187283981,16.583077814717,PAP
2,BOHUNICE,Arménská 13,49.167692556055,16.582736295872,SBA
3,BOHUNICE,Arménská 13,49.167692556055,16.582736295872,SBI
4,BRNO-BOHUNICE,Arménská ZŠ,49.167880964881,16.580625564242002,PLA
5,BRNO-BOHUNICE,Běloruská - podzemní kontejnery,49.169414098922,16.582022844807998,PAP
6,BRNO-BOHUNICE,Běloruská - podzemní kontejnery,49.169414098922,16.582022844807998,PLA
7,BRNO-BOHUNICE,Běloruská - podzemní kontejnery,49.169414098922,16.582022844807998,SBA
8,BRNO-BOHUNICE,Běloruská 6,49.169343888417,16.580715006854998,PAP
9,BRNO-BOHUNICE,Dlouhá 1/3 - ALBERT,49.170088671145,16.581841912955998,SBI
10,BRNO-BOHUNICE,Dlouhá 1/3 - ALBERT,49.170088671145,16.581841912955998,PLA
11,BRNO-BOHUNICE,Dlouhá 1/3 - ALBERT,49.170088671145,16.581841912955998,PAP
12,BRNO-BOHUNICE,Dlouhá 1/3 - ALBERT,49.170088671145,16.581841912955998,SBA
13,BRNO-BOHUNICE,Dlouhá x Hraničky,49.168542192681,16.575404363620002,PLA
14,BRNO-BOHUNICE,Dlouhá x Hraničky,49.168542192681,16.575404363620002,PLA
15,BRNO-BOHUNICE,Dlouhá x Hraničky,49.168542192681,16.575404363620002,PAP
16,BRNO-BOHUNICE,Gruzinská 9,49.167597283899,16.585000105301003,SBA
17,BRNO-BOHUNICE,Gruzinská 9,49.167597283899,16.585000105301003,SBI
18,BRNO-BOHUNICE,Gruzinská 9,49.167597283899,16.585000105301003,PAP
19,BRNO-BOHUNICE,Gruzinská 9,49.167597283899,16.585000105301003,PLA
20,BRNO-BOHUNICE,Gruzínská 1,49.167392423093,16.585738663603,PLA
21,BRNO-BOHUNICE,Gruzínská 1,49.167392423093,16.585738663603,PAP
22,BRNO-BOHUNICE,Gruzínská 7,49.167842101196,16.584591932822,SBI
23,BRNO-BOHUNICE,Gruzínská 7,49.167842101196,16.584591932822,SBA
24,BRNO-BOHUNICE,Kamenice - Kaufland,49.175067583661,16.581730165505,PLA
25,BRNO-BOHUNICE,Lány 34 - TŘIĎOUN,49.165626772776,16.58201762832,PAP
26,BRNO-BOHUNICE,Lány 34 - TŘIĎOUN,49.165626772776,16.58201762832,PLA
27,BRNO-BOHUNICE,Moldavská 7,49.168868783034,16.584540310462,PAP
28,BRNO-BOHUNICE,Moldavská 7,49.168868783034,16.584540310462,PLA
29,BRNO-BOHUNICE,Netroufalky 1 - ubytovna,49.179422734987,16.569976410347,SBA
30,BRNO-BOHUNICE,Netroufalky 1 - ubytovna,49.179422734987,16.569976410347,SBI
31,BRNO-BOHUNICE,Netroufalky 1 - ubytovna,49.179422734987,16.569976410347,PLA
32,BRNO-BOHUNICE,Netroufalky 1 - ubytovna,49.179422734987,16.569976410347,PAP
33,BOHUNICE,Neužilova  4,49.169155536093,16.577362674035,SBA
34,BOHUNICE,Neužilova  4,49.169155536093,16.577362674035,SBI
35,BRNO-BOHUNICE,Okrouhlá 10a,49.169931018716,16.570585184776,PLA
36,BRNO-BOHUNICE,Okrouhlá 10a,49.169931018716,16.570585184776,PAP
37,BRNO-BOHUNICE,Okrouhlá 17,49.172209143156,16.572458207569,PLA
38,BRNO-BOHUNICE,Okrouhlá 17,49.172209143156,16.572458207569,PAP
39,BOHUNICE,Okrouhlá 20,49.1700068224,16.572421086775,SBA
40,BOHUNICE,Okrouhlá 20,49.1700068224,16.572421086775,SBI
41,BRNO-BOHUNICE,Okrouhlá 5,49.171184238291,16.573978720755,PLA
42,BRNO-BOHUNICE,Okrouhlá 5,49.171184238291,16.573978720755,PAP
43,BRNO-BOHUNICE,Pod Nemocnicí 9,49.173024495419,16.576434607115,SBA
44,BRNO-BOHUNICE,Pod Nemocnicí 9,49.173024495419,16.576434607115,SBI
45,BRNO-BOHUNICE,Pod Nemocnicí 9,49.173024495419,16.576434607115,PLA
46,BRNO-BOHUNICE,Pod Nemocnicí 9,49.173024495419,16.576434607115,PAP
47,BOHUNICE,Pod nemocnicí 21,49.173229700095,16.574618911479998,SBA
48,BOHUNICE,Pod nemocnicí 21,49.173229700095,16.574618911479998,SBI
49,BOHUNICE,Pod nemocnicí 21,49.173229700095,16.574618911479998,PLA
50,BOHUNICE,Pod nemocnicí 21,49.173229700095,16.574618911479998,PAP
51,BOHUNICE,Pod nemocnicí 37,49.172005395397,16.570687232652,SBA
52,BOHUNICE,Pod nemocnicí 37,49.172005395397,16.570687232652,SBI
53,BOHUNICE,Pod nemocnicí 7,49.172569112503,16.577205729012,SBA
54,BOHUNICE,Pod nemocnicí 7,49.172569112503,16.577205729012,SBI
55,BOHUNICE,Pod nemocnicí 7,49.172569112503,16.577205729012,PLA
56,BOHUNICE,Pod nemocnicí 7,49.172569112503,16.577205729012,PAP
57,BOHUNICE,Rolnická 3-5,49.166577105108,16.578323706505,SBA
