,NÁZEV,lat,lon
0,Denisovy sady,49.190833,16.605833
1,Lužánky,49.206389,16.608333
2,Špilberk,49.1946,16.6002
3,Studánka,49.1914,16.6047
4,Wilsonův les,49.205262,16.573262
5,Tyršův sad,49.202778,16.603056
6,Koliště,49.1990950,16.6123589
7,Ponava,49.2125108,16.5966200
8,Kraví Hora,49.2031447,16.5835942
9,Björnsenův sad,49.2070000,16.5939000
10,Botanická zahrada a arboretum Mendelovy univerzity,49.2145972,16.6145608
11,Stránská Skála,49.1912778,16.6759067
12,Mariánské údolí,49.2077356,16.7161617
13,Hády,49.2204650,16.6603950
14,ObioraHoledná,49.2033458,16.5266050
15,Otevřená zahrada,49.1969919,16.5976533
16,Zaječí Hora,49.2377939,16.6092147
17,Čertova rokle,49.2319172,16.6250292
18,Park Anthropos,49.1923761,16.5662456
19,Masarykův Háj,49.1900417,16.5583453
20,Přírodní rezervace Kamenný vrch,49.1828297,16.5522453
21,Lesopark Akátky,49.2084028,16.6525072
22,Sady Osvobození,49.1990950,16.6123589
23,Náměstí 28.října,49.2039339,16.6131378

