id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
640154,2020-11-24 18:31:04.872536 UTC,Brno,Bystrc,7000,1+kk,28,1,2,A,2,3,true,false,true,false,""
639744,2020-11-24 18:31:49.728728 UTC,Brno,Bystrc,9000,1+1,37,1,2,B,2,3,false,false,false,false,""
640044,2020-11-24 18:31:59.966167 UTC,Brno,Veveří,13000,2+1,75,1,1,G,2,7,false,false,true,false,""
640547,2020-11-24 18:30:29.133504 UTC,Brno,Město Brno,12500,1+kk,30,1,1,A,3,3,false,false,false,false,""
640293,2020-11-24 18:30:01.849285 UTC,Brno,Řečkovice,13500,2+1,75,1,1,G,1,2,true,false,false,false,""
640638,2020-11-24 18:30:04.600253 UTC,Brno,Staré Brno,14900,2+kk,51,1,1,C,2,5,false,false,true,false,""
638883,2020-11-24 18:31:23.59276 UTC,Brno,Štýřice,26250,2+kk,0,0,0,"",3,6,false,false,true,true,""
640064,2020-11-24 18:32:08.406972 UTC,Brno,Komín,8900,1+1,38,1,2,D,3,3,true,false,false,false,""
639933,2020-11-24 18:32:30.479121 UTC,Brno,Královo Pole,16000,2+1,80,1,1,G,2,2,false,true,false,false,""
640560,2020-11-24 18:30:09.746205 UTC,Brno,Město Brno,8000,1+kk,33,1,1,A,3,0,false,false,false,false,""
640297,2020-11-24 18:29:59.373549 UTC,Brno,Staré Brno,13500,2+kk,43,1,1,G,3,1,false,false,true,false,""
373057,2020-11-24 18:31:52.279772 UTC,Brno,Černovice,12500,2+kk,50,2,1,"",2,3,true,false,false,false,""
591001,2020-11-24 18:32:22.128311 UTC,Brno,Královo Pole,12800,1+1,48,1,1,E,0,1,true,false,false,false,""
474613,2020-11-24 18:31:21.066171 UTC,Brno,Veveří,13500,2+1,74,2,1,"",3,3,false,false,false,false,""
630712,2020-11-24 18:30:15.508199 UTC,Brno,Ponava,22000,4+kk,88,1,1,G,1,4,false,false,false,false,""
640301,2020-11-24 18:31:18.268135 UTC,Brno,Lesná,14500,3+1,76,1,2,B,2,1,true,false,false,false,""
640593,2020-11-24 18:30:20.900112 UTC,Brno,Zábrdovice,12000,2+kk,66,1,1,C,2,0,false,true,false,false,""
483901,2020-11-24 18:31:57.533048 UTC,Brno,Trnitá,9000,1+kk,31,1,1,G,3,5,false,false,true,false,""
569738,2020-11-24 18:32:05.46136 UTC,Brno,Zábrdovice,11000,3+1,74,1,1,"",2,2,true,false,false,false,""
474603,2020-11-24 18:32:24.514663 UTC,Brno,Štýřice,13000,2+1,56,1,1,"",2,1,true,false,false,false,""
640568,2020-11-24 18:30:18.35546 UTC,Brno,Žabovřesky,16000,3+1,75,2,2,G,2,1,true,false,false,false,""
640003,2020-11-24 18:30:59.162857 UTC,Brno,Horní Heršpice,12285,1+kk,41,0,0,"",3,2,true,true,false,false,""
640515,2020-11-24 18:30:26.44709 UTC,Brno,Zábrdovice,10500,Garsoniéra,20,1,0,G,3,4,false,false,false,false,""
630993,2020-11-24 18:32:11.223371 UTC,Brno,Židenice,9500,1+kk,29,1,1,G,2,5,false,false,false,false,""
434320,2020-11-24 18:31:33.934314 UTC,Brno,Medlánky,9500,1+kk,28,1,3,B,3,0,false,false,false,false,""
640126,2020-11-24 18:31:41.950735 UTC,Brno,Židenice,16500,2+1,66,1,1,C,3,3,true,true,false,false,""
488927,2020-11-24 18:30:34.303386 UTC,Brno,Bohunice,19000,2+kk,64,1,1,B,2,2,false,true,false,false,""
640005,2020-11-24 18:32:13.897019 UTC,Brno,Město Brno,13500,1+kk,27,1,1,A,2,2,false,false,false,false,""
640441,2020-11-24 18:30:45.13709 UTC,Brno,Lesná,9000,1+kk,26,1,2,B,3,8,false,false,true,false,""
492819,2020-11-24 18:31:07.668655 UTC,Brno,Stránice,13500,2+kk,50,1,1,"",2,0,false,false,false,false,""
223037,2020-11-24 18:29:56.634567 UTC,Brno,Nový Lískovec,9200,1+1,41,1,1,"",3,1,false,false,false,false,""
