X,Y,název,počet_zaměstnanců,odvětví,address,latitude,longitude
16.5853244516598,49.195998310773795,"1. ART Consulting Brno CZ, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Lerchova 299/7,49.19599831,16.58532445
16.6059202133154,49.20185763817221,"1. Jihomoravská Stavební, s.r.o.", 10 - 19, Stavebnictví,Lidická 1005/23b,49.20185764,16.60592021
16.601064575761303,49.1629791021127,"1. PLASTCOMPANY, s.r.o.", 10 - 19, Zpracovatelský průmysl,Bohunická 728/24a,49.1629791,16.60106458
16.6249337219554,49.1505938762463,"1. zahradnická, a.s.", 6 - 9, Činnosti v oblasti nemovitostí,Pěstitelská 196/18,49.15059388,16.62493372
16.6185723597631,49.2223583067359,"100 Rework Plus, s.r.o.", 20 - 24, Zpracovatelský průmysl,Křižíkova 2697/70,49.22235831,16.61857236
16.6218213541433,49.1851311309448,"100 Rework, s.r.o.", 250 - 499," Profesní, vědecké a technické činnosti",Dornych 54/47,49.18513113,16.62182135
16.6137623206928,49.1696645080711,"100mega Distribution, s.r.o.", 100 - 199, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Železná 681/7,49.16966451,16.61376232
16.6617294391368,49.1821648178594,"1csc, a.s.", 100 - 199, Zpracovatelský průmysl,Vlastimila Pecha 1276/5,49.18216482,16.66172944
16.6035296939364,49.19297826915879,"2. Základní Škola Heuréka, s.r.o.", 10 - 19, Vzdělávání,Pellicova 20/2c,49.19297827,16.60352969
16.681381649045502,49.1750845821744,"2006 Properties, s.r.o.", 6 - 9, Činnosti v oblasti nemovitostí,Řípská 1181/18a,49.17508458,16.68138165
16.5980517853002,49.17177657980129,"24i Media CZ, s.r.o.", 20 - 24, Informační a komunikační činnosti,Londýnské náměstí 853/1,49.17177658,16.59805179
16.5814717103569,49.2461970260514,"2D S, s.r.o.", 20 - 24, Zpracovatelský průmysl,Vránova 1158/167,49.24619703,16.58147171
16.6789671581231,49.1684966579117,"2K Czech, s.r.o.", 100 - 199, Informační a komunikační činnosti,Tuřanka 1222/115,49.16849666,16.67896716
16.5961324969664,49.220423092754004,"2M Agency, s.r.o.", 6 - 9," Ubytování, stravování a pohostinství",Dobrovského 675/4,49.22042309,16.5961325
16.633163828772,49.2100242100563,"321 Creative Crew, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Gargulákova 513/2,49.21002421,16.63316383
16.626040803915,49.255858761823305,"3E system, s.r.o.", 10 - 19, Zpracovatelský průmysl,Klarisky 626/21,49.25585876,16.6260408
16.592855088873698,49.1998363422415,"3group, s.r.o.", 10 - 19, Doprava a skladování,Úvoz 422/47,49.19983634,16.59285509
16.5301623092871,49.1722489842124,"3P, s.r.o.", 100 - 199, Zpracovatelský průmysl,Ostopovická 285/17,49.17224898,16.53016231
16.579253439340402,49.2094059188243,"3S. cz, s.r.o.", 10 - 19, Informační a komunikační činnosti,Eliášova 1055/25,49.20940592,16.57925344
16.5955252277495,49.163489308725204,"4 PARADE, Družstvo", 10 - 19, Zpracovatelský průmysl,Bohunická 493/81,49.16348931,16.59552523
16.5727126207037,49.233292582884104,"4dot Mechatronic Systems, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Purkyňova 649/127,49.23329258,16.57271262
16.5916822933545,49.256658018067505,"4hafu, a.s.", 6 - 9, Peněžnictví a pojišťovnictví,Jandáskova 1957/24,49.25665802,16.59168229
16.5788809466196,49.2414519469661,"4heat, s.r.o.", 25 - 49, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ječná 1321/29a,49.24145195,16.57888095
16.6055936541501,49.17616588980721,"4lide, s.r.o.", 25 - 49, Administrativní a podpůrné činnosti,Pražákova 1008/69,49.17616589,16.60559365
16.6118183062309,49.1957507927364,"4pokoje, s.r.o.", 25 - 49," Ubytování, stravování a pohostinství",Vachova 45/6,49.19575079,16.61181831
16.6064994020949,49.1754970977149,"5P Agency, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Pražákova 876/66,49.1754971,16.6064994
16.5373784570998,49.17672852507871,"7red, s.r.o.", 10 - 19, Činnosti v oblasti nemovitostí,Křivánky 682/12c,49.17672853,16.53737846
