X,Y,objectid,název,rok_založení,počet_zaměstnanců,web,odvětví,industry,address,city,latitude,longitude
16.5853244516598,49.1959983107738,1,"1. ART Consulting Brno CZ, s.r.o.",1994, 6 - 9,https://www.acb.cz," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Lerchova 299/7,Brno,49.19599831,16.58532445
16.6059202133154,49.2018576381722,2,"1. Jihomoravská Stavební, s.r.o.",2012, 10 - 19,https://www.prvnijihomoravska.cz, Stavebnictví,Construction,Lidická 1005/23b,Brno,49.20185764,16.60592021
16.6010645757613,49.1629791021127,3,"1. PLASTCOMPANY, s.r.o.",2012, 10 - 19,https://www.1plastcompany.cz, Zpracovatelský průmysl,Manufacturing,Bohunická 728/24a,Brno,49.1629791,16.60106458
16.6249337219554,49.1505938762463,4,"1. zahradnická, a.s.",2012, 6 - 9,https://www.1zahradnicka.webove.info, Činnosti v oblasti nemovitostí,Real estate,Pěstitelská 196/18,Brno,49.15059388,16.62493372
16.6185723597631,49.2223583067359,5,"100 Rework Plus, s.r.o.",2011, 20 - 24,Není k dispozici | Not available, Zpracovatelský průmysl,Manufacturing,Křižíkova 2697/70,Brno,49.22235831,16.61857236
16.6218213541433,49.1851311309448,6,"100 Rework, s.r.o.",2003, 250 - 499,https://www.rework.cz," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Dornych 54/47,Brno,49.18513113,16.62182135
16.6137623206928,49.1696645080711,7,"100mega Distribution, s.r.o.",1994, 100 - 199,https://www.digitor.cz," Velkoobchod a maloobchod; opravy a údržba motorových vozidel","Wholesale and retail trade; repair and maintenance of motor vehicles",Železná 681/7,Brno,49.16966451,16.61376232
16.6617294391368,49.1821648178594,8,"1csc, a.s.",2013, 100 - 199,https://www.1csc.cz, Zpracovatelský průmysl,Manufacturing,Vlastimila Pecha 1276/5,Brno,49.18216482,16.66172944
16.6035296939364,49.1929782691588,9,"2. Základní Škola Heuréka, s.r.o.",2015, 10 - 19,Není k dispozici | Not available, Vzdělávání,Education,Pellicova 20/2c,Brno,49.19297827,16.60352969
16.6813816490455,49.1750845821744,10,"2006 Properties, s.r.o.",2006, 6 - 9,https://www.miraoffice.cz, Činnosti v oblasti nemovitostí,Real estate,Řípská 1181/18a,Brno,49.17508458,16.68138165
16.5980517853002,49.1717765798013,11,"24i Media CZ, s.r.o.",2016, 20 - 24,Není k dispozici | Not available, Informační a komunikační činnosti,Information and communication,Londýnské náměstí 853/1,Brno,49.17177658,16.59805179
16.5814717103569,49.2461970260514,12,"2D S, s.r.o.",1991, 20 - 24,https://www.2ds.cz, Zpracovatelský průmysl,Manufacturing,Vránova 1158/167,Brno,49.24619703,16.58147171
16.6789671581231,49.1684966579117,13,"2K Czech, s.r.o.",1997, 100 - 199,https://www.unicreditbank.cz, Informační a komunikační činnosti,Information and communication,Tuřanka 1222/115,Brno,49.16849666,16.67896716
16.5961324969664,49.220423092754,14,"2M Agency, s.r.o.",2004, 6 - 9,Není k dispozici | Not available," Ubytování, stravování a pohostinství",Accommodation and hospitality,Dobrovského 675/4,Brno,49.22042309,16.5961325
16.633163828772,49.2100242100563,15,"321 Creative Crew, s.r.o.",2014, 6 - 9,https://www.tridvajedna.sk," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Gargulákova 513/2,Brno,49.21002421,16.63316383
16.626040803915,49.2558587618233,16,"3E system, s.r.o.",2011, 10 - 19,https://www.3esystem.cz, Zpracovatelský průmysl,Manufacturing,Klarisky 626/21,Brno,49.25585876,16.6260408
16.5928550888737,49.1998363422415,17,"3group, s.r.o.",2008, 10 - 19,https://www.3group.cz, Doprava a skladování,Transportation and storage,Úvoz 422/47,Brno,49.19983634,16.59285509
16.5301623092871,49.1722489842124,18,"3P, s.r.o.",1993, 100 - 199,https://www.svetelne-reklamy-3p.cz, Zpracovatelský průmysl,Manufacturing,Ostopovická 285/17,Brno,49.17224898,16.53016231
16.5792534393404,49.2094059188243,19,"3S. cz, s.r.o.",2006, 10 - 19,https://www.storage.cz, Informační a komunikační činnosti,Information and communication,Eliášova 1055/25,Brno,49.20940592,16.57925344
16.5955252277495,49.1634893087252,20,"4 PARADE, Družstvo",2013, 10 - 19,https://www.druteva.cz, Zpracovatelský průmysl,Manufacturing,Bohunická 493/81,Brno,49.16348931,16.59552523
16.5727126207037,49.2332925828841,21,"4dot Mechatronic Systems, s.r.o.",2014, 10 - 19,https://www.4dot.cz," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Purkyňova 649/127,Brno,49.23329258,16.57271262
16.5916822933545,49.2566580180675,22,"4hafu, a.s.",2007, 6 - 9,https://www.glamourgroup.eu/contacts, Peněžnictví a pojišťovnictví,Finance and Insurance,Jandáskova 1957/24,Brno,49.25665802,16.59168229
16.5788809466196,49.2414519469661,23,"4heat, s.r.o.",2011, 25 - 49,https://www.4heat.sk," Velkoobchod a maloobchod; opravy a údržba motorových vozidel","Wholesale and retail trade; repair and maintenance of motor vehicles",Ječná 1321/29a,Brno,49.24145195,16.57888095
16.6055936541501,49.1761658898072,24,"4lide, s.r.o.",2016, 25 - 49,Není k dispozici | Not available, Administrativní a podpůrné činnosti,Administrative and support activities,Pražákova 1008/69,Brno,49.17616589,16.60559365
16.6118183062309,49.1957507927364,25,"4pokoje, s.r.o.",2016, 25 - 49,https://www.miluju4pokoje.cz," Ubytování, stravování a pohostinství",Accommodation and hospitality,Vachova 45/6,Brno,49.19575079,16.61181831
16.6064994020949,49.1754970977149,26,"5P Agency, s.r.o.",1994, 10 - 19,https://www.5pagency.cz," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Pražákova 876/66,Brno,49.1754971,16.6064994
16.5373784570998,49.1767285250787,27,"7red, s.r.o.",2007, 10 - 19,https://www.penziondvorakova.cz, Činnosti v oblasti nemovitostí,Real estate,Křivánky 682/12c,Brno,49.17672853,16.53737846
16.5792158879649,49.2224215478286,28,"94 Minutes, s.r.o.",1994, 6 - 9,https://www.94minutes.cz," Profesní, vědecké a technické činnosti","Professional, scientific and technical activities",Horská 2953/12,Brno,49.22242155,16.57921589
