city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Trnitá,13900,2+kk,58,1,C,3,5,True,False,True,False,Rent,1,0,0,0,1,0,0,0,0,1,0,1,1
Brno,Staré Brno,15833,1+1,32,0,,3,5,False,False,True,False,Rent,0,0,1,1,0,0,0,1,1,0,0,0,1
Brno,Město Brno,20000,4+kk,100,1,D,2,1,False,True,False,False,Rent,0,0,1,0,1,0,1,1,0,1,1,1,0
Brno,Řečkovice,13500,2+1,75,1,G,2,2,True,False,False,False,Rent,0,1,1,1,0,1,1,0,1,0,0,1,2
Brno,Líšeň,7400,1+kk,32,2,G,2,1,False,False,True,False,Rent,0,0,0,1,0,0,1,1,1,0,1,0,2
Brno,Staré Brno,18525,1+kk,35,0,,3,2,False,False,True,True,Rent,0,1,1,1,0,1,0,0,0,0,0,0,1
Brno,Staré Brno,12750,1+kk,35,0,,3,6,True,False,True,False,Rent,1,0,0,1,0,1,1,1,0,1,0,0,1
Brno,Obřany,14500,3+kk,72,1,,2,1,False,False,False,False,Rent,1,0,1,1,1,1,1,1,0,1,1,0,2
Brno,Královo Pole,14610,2+1,65,1,C,2,1,True,False,False,False,Rent,1,1,0,1,1,1,1,0,0,0,0,0,1
Brno,Husovice,13000,2+kk,52,1,C,3,2,True,False,False,False,Rent,0,1,0,1,1,0,1,1,0,1,0,0,1
Brno,Město Brno,25000,3+1,112,1,C,3,1,True,False,False,False,Rent,0,1,0,1,1,1,0,1,1,0,1,1,1
Brno,Bystrc,15000,2+kk,61,1,C,2,1,False,False,True,False,Rent,1,1,1,1,1,0,1,1,1,1,0,0,2
Brno,Štýřice,18375,2+kk,50,0,,3,1,False,True,False,False,Rent,0,1,0,0,0,1,0,0,0,0,0,0,1
Brno,Zábrdovice,7900,1+kk,24,1,G,2,3,False,False,False,False,Rent,1,1,0,1,1,0,0,1,0,0,1,0,2
Brno,Ponava,16000,2+kk,45,1,G,3,1,False,False,False,False,Rent,0,0,0,0,0,0,1,1,0,0,0,1,2
Brno,Líšeň,8500,1+1,35,1,C,3,1,False,False,False,False,Rent,0,0,1,0,0,0,0,1,0,0,0,0,0
Brno,Město Brno,19238,1+kk,55,0,,3,3,False,False,True,False,Rent,0,1,0,1,1,0,1,0,1,1,0,1,2
Brno,Zábrdovice,9500,1+kk,26,1,G,2,1,False,False,False,False,Rent,1,1,0,0,1,0,1,0,0,1,0,1,2
Brno,Staré Brno,14025,2+kk,43,0,,3,5,True,False,True,False,Rent,1,1,1,0,0,1,0,1,0,1,0,0,2
Brno,Maloměřice,10000,2+kk,47,1,C,2,1,False,False,False,False,Rent,0,1,0,1,1,1,1,0,0,1,0,0,0
Brno,Veveří,13000,2+1,80,1,,1,1,True,False,False,False,Rent,1,1,0,1,0,1,1,1,0,1,1,0,2
