city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Komárov,10500,Garsoniéra,20,1,C,3,2,True,False,False,False,49.173926,16.62328,Rent,1,1,1,1,0,1,0,1,0,1,1,0,0
Brno,Město Brno,21500,2+kk,61,1,G,0,5,True,False,True,False,49.195902,16.609039,Rent,0,1,1,0,1,0,1,1,1,0,1,1,2
Brno,Město Brno,15000,3+kk,101,1,C,2,3,False,False,True,False,49.198531,16.61041,Rent,0,1,1,0,1,0,1,0,0,0,0,1,0
Brno,Zábrdovice,8900,1+kk,20,1,B,3,2,False,False,True,False,49.19528,16.617736,Rent,0,0,1,1,0,1,1,1,0,1,1,1,0
Brno,Žebětín,11000,2+kk,58,1,,3,1,True,False,False,False,49.2027496,16.4835615,Rent,0,1,1,1,0,0,1,1,0,1,0,0,0
Brno,Žebětín,12500,2+kk,48,1,A,2,4,True,False,False,False,49.219167150249,16.496077072561,Rent,0,0,0,0,0,0,1,1,1,0,0,1,2
Brno,Židenice,12000,1+1,40,1,,3,0,False,True,False,False,49.1945705431,16.6369552563,Rent,0,1,1,1,0,1,1,1,0,0,0,0,1
Brno,Mokrá Hora,15000,2+1,65,1,A,1,0,False,False,False,False,49.257688,16.593744,Rent,1,1,0,1,1,0,1,0,0,0,0,0,1
Brno,Medlánky,14300,3+1,89,1,G,3,2,True,False,False,False,49.240357,16.578353,Rent,1,1,0,1,0,1,0,0,0,0,0,1,0
Brno,Bohunice,11500,2+kk,45,2,B,2,3,False,False,True,False,49.16791,16.576652,Rent,0,1,0,0,1,1,1,1,0,1,1,1,2
Brno,Zábrdovice,15000,2+kk,67,0,,3,5,False,False,False,False,49.198561,16.618322,Rent,1,0,1,1,0,1,1,0,0,0,0,0,2
Brno,Žabovřesky,12041,2+kk,40,0,,3,2,False,True,False,False,49.216337,16.5708489,Rent,1,0,0,1,0,0,0,0,1,0,0,0,2
Brno,Štýřice,13000,2+1,56,1,,2,1,True,False,False,False,49.178756733402,16.590879391788,Rent,0,0,1,1,0,0,0,1,0,0,1,1,1
Brno,Židenice,14000,3+1,72,1,E,2,1,True,False,True,False,49.193018,16.645175,Rent,1,1,1,0,0,0,1,0,0,1,0,1,0
Brno,Město Brno,20000,4+kk,100,1,D,2,1,False,True,False,False,49.198531,16.61041,Rent,1,1,0,1,1,1,1,1,0,1,1,0,0
Brno,Chrlice,13000,1+1,37,2,F,2,4,True,False,False,False,49.129766,16.652625,Rent,1,0,1,0,0,1,0,0,1,0,0,0,2
Brno,Lesná,9000,1+1,35,2,,1,8,True,False,True,False,49.2236217,16.6262301,Rent,1,1,0,1,0,0,0,0,1,0,0,0,2
Brno,Slatina,10500,2+kk,46,1,B,2,2,True,False,False,False,49.1736154,16.6921808,Rent,0,1,1,0,0,0,1,1,1,0,0,1,0
Brno,Komárov,11000,Garsoniéra,16,1,C,3,1,False,False,False,False,49.174125,16.623102,Rent,1,0,0,1,1,1,1,1,0,0,0,1,2
Brno,Řečkovice,13500,2+1,70,2,,2,4,True,False,False,False,49.2457865,16.587221,Rent,1,1,0,0,1,0,0,0,0,1,0,1,0
Brno,Starý Lískovec,12490,2+1,62,2,,1,1,True,False,False,False,49.1645087,16.5640904,Rent,0,1,1,0,0,0,1,1,0,1,1,0,1
Brno,Veveří,13000,2+1,80,1,,1,1,True,False,False,False,49.2053616,16.5988866,Rent,1,1,1,1,1,1,0,0,0,0,1,1,2
Brno,Trnitá,11100,1+kk,22,2,B,3,2,True,True,True,False,49.184512,16.623095,Rent,1,1,1,1,1,1,1,1,1,0,0,0,0
Brno,Staré Brno,14900,2+kk,51,1,C,2,5,False,False,True,False,49.188253,16.606073,Rent,0,1,0,1,0,0,0,0,0,1,0,1,0
