city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,cellar,parking,state
Brno,Veveří,6490000,2+1,82,1,C,2,5,True,False,True,False,49.199187,16.591819,purchase,0,1,2
Brno,Veveří,6500000,3+1,76,1,D,3,2,True,False,False,False,49.208817,16.599646,purchase,0,0,1
Brno,Staré Brno,3250000,1+kk,25,1,G,0,5,True,False,True,False,49.189118,16.588927,purchase,1,1,1
Brno,Horní Heršpice,7177000,4+1,126,1,E,2,1,False,False,False,False,49.168597,16.606103,purchase,1,1,2
Brno,Ponava,7800000,3+kk,83,1,D,0,4,False,False,True,False,49.215326,16.59876,purchase,1,0,1
Brno,Bystrc,5690000,2+kk,56,1,B,3,1,True,False,True,True,49.222868,16.512874,purchase,0,0,2
Brno,Řečkovice,3200000,1+1,38,2,G,3,3,False,False,True,False,49.240056,16.587663,purchase,1,0,0
Brno,Královo Pole,6200000,2+1,64,1,G,3,2,False,True,False,False,49.222688,16.587425,purchase,1,0,0
Brno,Medlánky,7490000,3+kk,90,1,C,2,2,True,False,True,False,49.245201,16.573667,purchase,1,1,0
Brno,Štýřice,4774000,1+kk,43,1,B,0,1,False,True,False,False,49.184859,16.592328,purchase,0,0,1
Brno,Staré Brno,5100000,1+kk,58,1,B,3,5,True,False,True,False,49.189708,16.605576,purchase,1,0,1
Brno,Zábrdovice,6900000,4+kk,100,1,,3,5,True,False,True,False,49.1983576,16.6189362,purchase,0,0,1
Brno,Štýřice,5567000,2+kk,58,1,B,0,2,True,False,False,False,49.184859,16.592328,purchase,0,0,1
Brno,Královo Pole,4290000,1+kk,44,1,G,2,3,True,False,True,False,49.228324,16.594294,purchase,1,0,2
Brno,Štýřice,4094000,1+kk,35,1,B,0,1,False,True,False,False,49.184859,16.592328,purchase,1,1,1
Brno,Bystrc,5249000,2+kk,64,1,B,3,1,False,True,True,False,49.2144373,16.5106132,purchase,0,1,0
Brno,Přízřenice,3990000,2+kk,43,1,C,3,2,True,False,False,False,49.144378,16.597797,purchase,1,0,0
Brno,Lesná,3590000,1+1,36,2,C,3,6,True,False,True,False,49.229261,16.622591,purchase,0,1,2
Brno,Brněnské Ivanovice,3990000,2+kk,51,1,D,2,2,False,False,False,False,49.154763,16.649253,purchase,1,1,0
Brno,Líšeň,5700000,3+1,70,2,G,2,1,False,False,True,False,49.2041058,16.6681339,purchase,1,1,0
Brno,Zábrdovice,3100000,1+kk,31,1,B,2,2,False,False,True,True,49.200451,16.627181,purchase,0,1,2
Brno,Kohoutovice,5250000,3+1,73,2,G,0,3,True,False,True,False,49.190142,16.528403,purchase,0,0,0
Brno,Židenice,3550000,2+kk,42,1,G,0,1,False,True,False,False,49.193584,16.656134,purchase,0,0,2
Brno,Řečkovice,4949000,3+1,72,2,B,2,6,False,False,True,False,49.248338,16.585954,purchase,1,1,1
Brno,Štýřice,6422000,2+kk,67,1,B,0,2,True,False,False,False,49.184859,16.592328,purchase,1,1,2
Brno,Starý Lískovec,4895000,3+1,77,2,B,3,7,True,False,True,False,49.166177,16.567146,purchase,1,0,1
Brno,Žabovřesky,5300000,2+1,72,1,G,2,2,True,False,False,False,49.210037,16.573729,purchase,1,0,1
Brno,Bohunice,4950000,3+1,75,2,C,3,5,True,False,True,False,49.165956,16.571707,purchase,0,0,1
