id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
629521,2020-11-25 16:13:03.854524 UTC,Brno,Komárov,10500,Garsoniéra,20,1,1,C,3,2,true,false,false,false,"49.173926,16.62328"
630974,2020-11-25 16:13:30.213705 UTC,Brno,Město Brno,21500,2+kk,61,1,1,G,0,5,true,false,true,false,"49.195902,16.609039"
633198,2020-11-25 16:06:04.144919 UTC,Brno,Město Brno,15000,3+kk,101,1,1,C,2,3,false,false,true,false,"49.198531,16.61041"
632458,2020-11-25 16:12:35.7203 UTC,Brno,Zábrdovice,8900,1+kk,20,1,1,B,3,2,false,false,true,false,"49.19528,16.617736"
423402,2020-11-25 16:04:02.101025 UTC,Brno,Žebětín,11000,2+kk,58,0,1,"",3,1,true,false,false,false,"49.2027496,16.4835615"
381798,2020-11-25 16:07:56.67949 UTC,Brno,Žebětín,12500,2+kk,48,1,1,A,2,4,true,false,false,false,"49.219167150249,16.496077072561"
267377,2020-11-25 16:14:22.484887 UTC,Brno,Židenice,12000,1+1,40,1,1,"",3,0,false,true,false,false,"49.1945705431,16.6369552563"
640186,2020-11-25 16:03:46.419144 UTC,Brno,Mokrá Hora,15000,2+1,65,1,1,A,1,0,false,false,false,false,"49.257688,16.593744"
633973,2020-11-25 16:08:39.900134 UTC,Brno,Medlánky,14300,3+1,89,1,1,G,3,2,true,false,false,false,"49.240357,16.578353"
639767,2020-11-25 16:05:39.827347 UTC,Brno,Bohunice,11500,2+kk,45,1,2,B,2,3,false,false,true,false,"49.16791,16.576652"
633319,2020-11-25 16:11:08.918166 UTC,Brno,Zábrdovice,15000,2+kk,67,1,0,"",3,5,false,false,false,false,"49.198561,16.618322"
638880,2020-11-25 16:03:22.403068 UTC,Brno,Žabovřesky,12041,2+kk,40,0,0,"",3,2,false,true,false,false,"49.216337,16.5708489"
474603,2020-11-25 16:05:21.102612 UTC,Brno,Štýřice,13000,2+1,56,1,1,"",2,1,true,false,false,false,"49.178756733402,16.590879391788"
634933,2020-11-25 16:07:40.489725 UTC,Brno,Židenice,14000,3+1,72,1,1,E,2,1,true,false,true,false,"49.193018,16.645175"
639763,2020-11-25 16:02:05.498835 UTC,Brno,Město Brno,20000,4+kk,100,1,1,D,2,1,false,true,false,false,"49.198531,16.61041"
590154,2020-11-25 16:11:49.969518 UTC,Brno,Chrlice,13000,1+1,37,1,2,F,2,4,true,false,false,false,"49.129766,16.652625"
423887,2020-11-25 16:11:27.268476 UTC,Brno,Lesná,9000,1+1,35,1,2,"",1,8,true,false,true,false,"49.2236217,16.6262301"
432168,2020-11-25 16:04:07.901998 UTC,Brno,Slatina,10500,2+kk,46,1,1,B,2,2,true,false,false,false,"49.1736154,16.6921808"
629511,2020-11-25 16:12:49.980778 UTC,Brno,Komárov,11000,Garsoniéra,16,1,1,C,3,1,false,false,false,false,"49.174125,16.623102"
538985,2020-11-25 16:13:17.218601 UTC,Brno,Řečkovice,13500,2+1,70,1,2,"",2,4,true,false,false,false,"49.2457865,16.587221"
298234,2020-11-25 16:10:15.549224 UTC,Brno,Starý Lískovec,12490,2+1,62,1,2,"",1,1,true,false,false,false,"49.1645087,16.5640904"
341996,2020-11-25 16:07:07.865284 UTC,Brno,Veveří,13000,2+1,80,1,1,"",1,1,true,false,false,false,"49.2053616,16.5988866"
640739,2020-11-25 16:00:03.240087 UTC,Brno,Trnitá,11100,1+kk,22,1,2,B,3,2,true,true,true,false,"49.184512,16.623095"
640638,2020-11-25 16:00:24.983032 UTC,Brno,Staré Brno,14900,2+kk,51,1,1,C,2,5,false,false,true,false,"49.188253,16.606073"
633057,2020-11-25 16:11:38.794884 UTC,Brno,Maloměřice,9800,2+kk,45,1,1,D,1,1,false,false,false,false,"49.221132,16.643838"
304107,2020-11-25 16:02:24.493799 UTC,Brno,Bystrc,11000,1+1,36,1,2,"",3,3,true,false,false,false,"49.2273895,16.5284902"
366414,2020-11-25 16:12:55.262361 UTC,Brno,Veveří,10700,1+1,36,1,1,A,3,4,false,false,false,false,"49.1998646,16.6055834"
266659,2020-11-25 15:59:44.593016 UTC,Brno,Žabovřesky,11700,2+1,51,1,2,"",2,1,true,false,false,false,"49.2185524,16.5825272"
631472,2020-11-25 16:02:13.551568 UTC,Brno,Soběšice,13000,2+kk,77,1,1,A,0,2,false,true,false,true,"49.253683,16.621477"
640753,2020-11-25 15:59:52.288944 UTC,Brno,Ponava,8700,1+1,26,1,1,D,1,1,false,false,false,false,"49.210772,16.604498"
640005,2020-11-25 16:05:02.094254 UTC,Brno,Město Brno,13500,1+kk,27,1,1,A,2,2,false,false,false,false,"49.193456,16.608107"
628815,2020-11-25 16:02:21.90416 UTC,Brno,Ponava,29800,4+kk,140,1,1,A,3,2,true,false,false,false,"49.213911,16.602124"
640188,2020-11-25 16:03:38.481305 UTC,Brno,Bystrc,8000,1+kk,27,1,0,G,2,0,false,false,false,false,"49.220622,16.516894"
640018,2020-11-25 16:04:46.174264 UTC,Brno,Ponava,20000,2+kk,66,1,1,B,2,1,false,true,true,true,"49.212698,16.600795"
634942,2020-11-25 16:07:32.430894 UTC,Brno,Město Brno,11000,2+1,62,1,0,G,2,1,false,false,true,false,"49.197204,16.608755"
640619,2020-11-25 16:00:17.38297 UTC,Brno,Jundrov,8000,Garsoniéra,26,1,1,B,2,1,false,false,false,false,"49.20567,16.558593"
638888,2020-11-25 16:03:49.112245 UTC,Brno,Staré Brno,18525,1+kk,35,0,0,"",3,2,false,false,true,true,"49.1893715,16.6004776"
639570,2020-11-25 16:06:06.758198 UTC,Brno,Staré Brno,14000,3+kk,75,1,1,G,2,1,false,true,false,false,"49.186947,16.598175"
430880,2020-11-25 16:05:13.015206 UTC,Brno,Žebětín,9500,1+kk,32,1,1,B,3,2,false,false,true,false,"49.21728,16.497659"
639933,2020-11-25 16:05:18.342289 UTC,Brno,Královo Pole,16000,2+1,80,1,1,G,2,2,false,true,false,false,"49.226514,16.584939"
632278,2020-11-25 16:12:19.401495 UTC,Brno,Zábrdovice,11500,1+kk,31,1,1,B,2,1,false,true,true,false,"49.201518,16.623509"
630450,2020-11-25 16:08:01.998799 UTC,Brno,Staré Brno,17000,2+1,83,1,1,G,2,2,true,false,false,false,"49.186704,16.59701"
634077,2020-11-25 16:11:33.077041 UTC,Brno,Stránice,8500,2+1,55,1,1,B,3,2,true,false,false,false,"49.198989,16.574957"
639304,2020-11-25 16:07:13.214044 UTC,Brno,Veveří,9700,1+1,19,1,1,D,3,2,true,false,false,false,"49.199631,16.589125"
611866,2020-11-25 16:08:09.860828 UTC,Brno,Zábrdovice,11000,2+kk,39,1,1,A,2,1,false,false,false,false,"49.198804,16.621881"
634932,2020-11-25 16:09:26.856235 UTC,Brno,Trnitá,10000,1+kk,22,1,1,A,2,7,false,true,true,false,"49.192179,16.617399"
181202,2020-11-25 16:00:06.115136 UTC,Brno,Černá Pole,9250,1+kk,25,1,1,"",2,1,false,false,false,false,"49.214898,16.6247094"
639530,2020-11-25 16:05:50.738665 UTC,Brno,Žabovřesky,12000,2+1,70,1,1,G,2,1,false,false,false,false,"49.2114,16.583048"
550457,2020-11-25 16:05:36.936972 UTC,Brno,Veveří,15000,2+kk,56,1,1,"",2,7,false,false,true,false,"49.2078046,16.6016642"
640593,2020-11-25 16:01:04.141758 UTC,Brno,Zábrdovice,12000,2+kk,66,1,1,C,2,0,false,true,false,false,"49.199602,16.619244"
599850,2020-11-25 16:00:41.592635 UTC,Brno,Staré Brno,15500,2+kk,59,1,0,A,3,1,false,false,true,true,"49.189868,16.605846"
622896,2020-11-25 16:01:40.543473 UTC,Brno,Pisárky,19553,1+kk,0,0,0,"",3,3,false,false,true,false,"49.1926173,16.5633806"
634678,2020-11-25 16:08:17.594936 UTC,Brno,Pisárky,10000,1+kk,32,1,1,G,2,-1,false,false,false,false,"49.193558,16.579916"
634649,2020-11-25 16:10:31.318657 UTC,Brno,Zábrdovice,10500,1+kk,31,1,1,B,3,4,true,false,true,false,"49.201429,16.623347"
624379,2020-11-25 16:00:58.810412 UTC,Brno,Štýřice,18750,2+kk,43,0,0,"",3,2,true,false,false,false,"49.1822352,16.6006902"
640011,2020-11-25 16:05:10.088503 UTC,Brno,Bohunice,10000,2+kk,48,1,2,C,3,7,true,false,true,false,"49.167809,16.585943"
632920,2020-11-25 16:11:58.271953 UTC,Brno,Chrlice,17000,3+kk,79,1,1,G,3,1,true,false,false,true,"49.129539,16.650737"
566075,2020-11-25 16:05:45.520928 UTC,Brno,Nový Lískovec,17900,3+1,72,1,2,A,2,1,true,false,true,false,"49.1765683,16.553012"
579398,2020-11-25 15:59:49.608772 UTC,Brno,Ponava,14500,2+1,78,2,1,"",2,5,true,false,true,false,"49.209535,16.605645"
567500,2020-11-25 16:09:10.394642 UTC,Brno,Trnitá,8500,1+kk,24,1,1,"",1,2,false,false,false,false,"49.1927247,16.6181453"
630101,2020-11-25 16:03:14.204524 UTC,Brno,Staré Brno,16875,1+kk,35,0,0,"",3,8,false,false,true,false,"49.186895,16.5866808"
620788,2020-11-25 16:04:24.267852 UTC,Brno,Bystrc,14000,3+1,75,0,2,E,2,5,true,false,true,false,"49.229999,16.516656"
626064,2020-11-25 16:11:52.693516 UTC,Brno,Starý Lískovec,14000,3+1,75,1,2,G,0,1,true,false,true,false,"49.167354,16.565267"
633151,2020-11-25 16:12:27.36385 UTC,Brno,Veveří,13000,2+1,73,1,1,A,2,2,false,false,true,false,"49.201394,16.605577"
632725,2020-11-25 16:12:09.12139 UTC,Brno,Žabovřesky,8900,1+kk,34,1,1,F,3,-1,false,true,false,false,"49.209095,16.587288"
631860,2020-11-25 16:13:24.866361 UTC,Brno,Slatina,9500,1+1,40,1,2,G,1,2,false,false,false,false,"49.180981,16.684761"
636477,2020-11-25 16:08:42.758366 UTC,Brno,Lesná,8500,1+1,26,1,2,G,2,2,false,false,true,false,"49.232856,16.629215"
634284,2020-11-25 16:11:06.544169 UTC,Brno,Zábrdovice,8300,1+kk,35,1,1,F,3,4,false,false,false,false,"49.198929,16.618198"
630978,2020-11-25 16:13:41.543582 UTC,Brno,Město Brno,16800,2+kk,55,1,1,G,0,5,false,false,true,false,"49.195912,16.609063"
640293,2020-11-25 16:00:55.996565 UTC,Brno,Řečkovice,13500,2+1,75,1,1,G,1,2,true,false,false,false,"49.242061,16.584633"
101843,2020-11-25 16:07:21.859364 UTC,Brno,Líšeň,8500,1+1,35,1,1,C,3,1,false,false,false,false,"49.2074568,16.6868142"
634841,2020-11-25 16:05:53.341473 UTC,Brno,Královo Pole,9500,1+1,39,1,1,D,1,1,false,false,false,false,"49.223746,16.596901"
501889,2020-11-25 16:09:52.499491 UTC,Brno,Slatina,15000,2+kk,63,1,1,"",3,4,true,false,true,false,"49.178338,16.680526"
639328,2020-11-25 16:07:15.975812 UTC,Brno,Židenice,12000,2+kk,40,1,1,G,3,0,false,false,false,false,"49.194664,16.637055"
611066,2020-11-25 16:14:19.722652 UTC,Brno,Staré Brno,9900,1+1,24,1,1,D,3,2,false,false,false,false,"49.188793,16.596324"
640402,2020-11-25 16:02:32.690848 UTC,Brno,Štýřice,8500,1+kk,27,1,1,G,2,1,false,false,false,false,"49.180675,16.596832"
527479,2020-11-25 16:10:23.471745 UTC,Brno,Obřany,12800,2+kk,70,1,1,"",2,1,false,false,false,false,"49.2365618,16.6427999"
610435,2020-11-25 16:09:18.676199 UTC,Brno,Trnitá,8800,1+kk,32,1,1,A,0,2,false,false,true,false,"49.192674,16.618035"
627134,2020-11-25 16:09:15.868877 UTC,Brno,Staré Brno,15000,2+kk,51,1,1,B,2,4,true,false,true,false,"49.189118,16.588927"
639193,2020-11-25 16:07:37.675443 UTC,Brno,Židenice,16000,2+kk,66,1,1,B,2,2,true,false,true,true,"49.196952,16.6594"
614090,2020-11-25 16:10:50.05614 UTC,Brno,Starý Lískovec,13500,3+1,67,1,2,C,0,5,false,false,true,false,"49.172253,16.5643"
634417,2020-11-25 16:08:56.612662 UTC,Brno,Zábrdovice,9800,1+kk,25,1,1,G,3,2,true,false,true,false,"49.201631,16.623343"
452566,2020-11-25 16:02:27.279388 UTC,Brno,Město Brno,18000,2+1,59,1,1,"",3,5,false,false,true,false,"49.194575868256,16.608235434005"
639654,2020-11-25 16:02:08.086846 UTC,Brno,Bystrc,15000,2+kk,61,1,1,C,2,1,false,false,true,false,"49.216775,16.49989"
636344,2020-11-25 16:06:25.660001 UTC,Brno,Trnitá,13900,2+kk,58,1,1,C,3,5,true,false,true,false,"49.190449,16.626698"
639145,2020-11-25 16:05:42.597175 UTC,Brno,Bystrc,13500,2+1,60,1,2,G,3,8,true,false,true,false,"49.215766,16.51914"
625777,2020-11-25 16:10:58.09836 UTC,Brno,Žabovřesky,14900,2+kk,53,1,3,B,2,3,true,false,true,false,"49.215346,16.570457"
638889,2020-11-25 16:03:54.063943 UTC,Brno,Město Brno,19238,1+kk,55,0,0,"",3,3,false,false,true,false,"49.1956101,16.6095012"
634419,2020-11-25 16:08:50.872597 UTC,Brno,Štýřice,18900,3+1,78,1,2,G,2,8,true,false,true,false,"49.177688,16.593881"
590746,2020-11-25 16:07:26.981401 UTC,Brno,Židenice,9300,1+kk,27,1,1,B,1,4,true,false,false,false,"49.198377,16.64544"
223037,2020-11-25 16:00:20.01368 UTC,Brno,Nový Lískovec,9200,1+1,41,1,1,"",3,1,false,false,false,false,"49.1842813,16.5637747"
611802,2020-11-25 16:09:43.714094 UTC,Brno,Štýřice,13750,2+kk,54,1,1,B,3,5,false,true,true,true,"49.183636,16.594774"
632055,2020-11-25 16:12:41.196889 UTC,Brno,Žabovřesky,12900,2+kk,46,1,1,G,2,2,false,false,true,false,"49.212151,16.590403"
586391,2020-11-25 15:59:55.12377 UTC,Brno,Židenice,9400,1+1,29,1,1,G,1,1,false,false,false,false,"49.191528,16.636373"
629119,2020-11-25 16:14:17.329782 UTC,Brno,Veveří,10800,2+1,52,0,1,G,0,2,true,false,false,false,"49.199179,16.591121"
634983,2020-11-25 16:08:12.679459 UTC,Brno,Židenice,9300,1+1,35,1,1,G,1,1,false,false,false,false,"49.197347,16.640501"
386954,2020-11-25 16:02:40.987588 UTC,Brno,Řečkovice,8500,1+kk,33,1,1,C,1,1,false,true,false,false,"49.2439721,16.581744"
638887,2020-11-25 16:00:30.450449 UTC,Brno,Staré Brno,15750,1+kk,0,0,0,"",3,3,false,false,false,false,"49.1924294,16.6044458"
470332,2020-11-25 16:07:02.557562 UTC,Brno,Zábrdovice,12000,1+kk,35,1,1,"",3,3,false,false,false,false,"49.1989741,16.6235737"
575117,2020-11-25 16:13:06.29129 UTC,Brno,Staré Brno,10000,1+kk,40,0,1,B,3,6,false,false,false,false,"49.186895,16.5866808"
634285,2020-11-25 16:10:55.253123 UTC,Brno,Slatina,11500,1+kk,46,1,1,B,2,1,true,false,true,false,"49.171665,16.686296"
628228,2020-11-25 16:14:33.355943 UTC,Brno,Staré Brno,10000,Garsoniéra,30,1,1,D,0,3,false,false,false,false,"49.192368,16.603573"
639520,2020-11-25 16:03:59.197901 UTC,Brno,Zábrdovice,9375,1+kk,24,0,0,"",3,4,false,false,true,false,"49.2000707,16.6257772"
639507,2020-11-25 16:06:20.373673 UTC,Brno,Maloměřice,10000,2+kk,47,1,1,C,2,1,false,false,false,false,"49.217689,16.643212"
286415,2020-11-25 16:07:59.359087 UTC,Brno,Kohoutovice,12900,2+1,56,1,2,"",3,4,true,false,false,false,"49.2005894,16.5338853"
634859,2020-11-25 16:09:46.684201 UTC,Brno,Žabovřesky,13000,2+kk,40,1,1,B,3,2,true,false,false,false,"49.216337,16.570846"
633952,2020-11-25 16:10:26.05799 UTC,Brno,Černá Pole,17500,2+kk,59,1,1,G,3,2,false,false,true,false,"49.204847,16.622033"
639261,2020-11-25 16:07:18.858435 UTC,Brno,Bystrc,13000,2+kk,61,1,1,G,2,4,true,false,true,false,"49.215545,16.496552"
431887,2020-11-25 16:04:54.340014 UTC,Brno,Veveří,14000,3+1,85,1,1,C,2,3,true,false,true,false,"49.2057346,16.5991522"
572760,2020-11-25 16:11:30.140438 UTC,Brno,Žabovřesky,9000,Garsoniéra,30,1,2,"",2,6,false,false,false,false,"49.2205689,16.5721603"
610159,2020-11-25 15:59:47.034792 UTC,Brno,Trnitá,10000,1+kk,22,1,0,B,0,5,false,true,true,false,"49.184512,16.623095"
634525,2020-11-25 16:08:28.64214 UTC,Brno,Staré Brno,14000,2+kk,50,1,1,G,1,1,true,false,true,false,"49.18776,16.595186"
466997,2020-11-25 16:14:06.651315 UTC,Brno,Zábrdovice,6500,1+1,28,0,1,"",2,0,false,false,false,false,"49.2062416,16.6254195"
588673,2020-11-25 16:14:27.915164 UTC,Brno,Židenice,13000,2+kk,40,1,2,G,1,1,false,false,true,false,"49.202382,16.662515"
640758,2020-11-25 15:59:39.734657 UTC,Brno,Město Brno,9000,2+kk,40,1,1,C,3,2,false,true,false,false,"49.198531,16.61041"
