id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
639048,2020-11-19 13:47:04.288005 UTC,Roztoky,Roztoky u Prahy,9500,Garsoniéra,35,1,1,A,1,3,TRUE,FALSE,FALSE,FALSE
625156,2020-11-19 14:47:17.723564 UTC,Praha,Vinohrady,18368,2+kk,45,0,0,,3,3,FALSE,FALSE,TRUE,FALSE
603737,2020-11-19 14:21:27.465108 UTC,Praha,Vokovice,16000,3+1,80,1,1,B,3,2,TRUE,TRUE,TRUE,FALSE
628801,2020-11-19 14:03:29.515666 UTC,České Budějovice,České Budějovice 1,9500,3+kk,114,0,1,G,0,2,FALSE,FALSE,FALSE,FALSE
622577,2020-11-19 14:33:34.886158 UTC,Praha,Staré Město,33000,1+kk,46,0,0,,3,3,FALSE,FALSE,TRUE,FALSE
629148,2020-11-19 14:29:24.765431 UTC,Praha,Nové Město,14625,2+kk,52,0,0,,3,2,FALSE,FALSE,TRUE,FALSE
513884,2020-11-19 14:52:36.343075 UTC,Praha,Stodůlky,11000,1+kk,27,1,1,G,2,4,TRUE,FALSE,FALSE,FALSE
628150,2020-11-19 14:51:49.35668 UTC,Praha,Josefov,22500,2+kk,55,0,0,,3,4,FALSE,FALSE,TRUE,FALSE
625649,2020-11-19 14:46:21.324529 UTC,Praha,Vinohrady,24863,2+1,82,0,0,,3,3,FALSE,FALSE,TRUE,FALSE
578600,2020-11-19 14:11:00.69037 UTC,Liberec,Horní Růžodol,6000,1+kk,35,2,0,G,1,4,FALSE,FALSE,TRUE,FALSE
622871,2020-11-19 14:39:38.656938 UTC,Praha,Smíchov,26625,3+1,90,0,0,,3,6,TRUE,FALSE,TRUE,FALSE
522275,2020-11-19 13:50:06.513935 UTC,Praha,Vinohrady,19900,2+kk,52,1,1,G,2,2,TRUE,FALSE,TRUE,TRUE
324786,2020-11-19 14:30:18.763763 UTC,Praha,Žižkov,16000,2+1,51,1,1,C,3,1,FALSE,FALSE,TRUE,FALSE
219272,2020-11-19 14:22:25.43408 UTC,České Budějovice,České Budějovice 2,6000,1+1,33,1,2,,2,6,FALSE,FALSE,TRUE,FALSE
233349,2020-11-19 13:59:05.100279 UTC,Rudná,Hořelice,12500,2+kk,44,1,1,C,3,0,FALSE,FALSE,FALSE,FALSE
601683,2020-11-19 14:43:58.56713 UTC,Praha,Kobylisy,16500,2+1,64,1,1,,2,3,FALSE,FALSE,FALSE,FALSE
622696,2020-11-19 14:30:38.831779 UTC,Praha,Nové Město,35625,2+1,85,0,0,,3,2,TRUE,FALSE,TRUE,FALSE
622715,2020-11-19 13:54:20.580897 UTC,Praha,Malá Strana,12000,1+kk,0,0,0,,3,1,FALSE,FALSE,FALSE,FALSE
425738,2020-11-19 14:24:17.183172 UTC,Liberec,Vratislavice nad Nisou,5900,Garsoniéra,20,1,2,C,2,1,FALSE,FALSE,FALSE,FALSE
626427,2020-11-19 14:45:19.72296 UTC,Praha,Žižkov,18750,3+kk,60,0,0,,3,2,FALSE,FALSE,FALSE,FALSE
638840,2020-11-19 14:36:53.385824 UTC,Praha,Malá Strana,31050,2+kk,60,0,0,,3,3,TRUE,FALSE,TRUE,FALSE
629652,2020-11-19 14:53:02.14108 UTC,Praha,Strašnice,12500,2+kk,40,1,1,G,0,2,FALSE,FALSE,FALSE,FALSE
552499,2020-11-19 14:19:37.285623 UTC,Praha,Vršovice,23000,3+kk,70,1,1,G,3,5,TRUE,FALSE,FALSE,FALSE
162471,2020-11-19 14:45:42.56627 UTC,Praha,Prosek,9900,1+kk,40,1,1,,2,1,FALSE,FALSE,FALSE,FALSE
639440,2020-11-19 14:33:03.379906 UTC,Praha,Břevnov,9000,Garsoniéra,28,1,1,G,1,3,FALSE,FALSE,TRUE,FALSE
622604,2020-11-19 14:20:19.309698 UTC,Praha,Žižkov,17250,2+kk,48,0,0,,3,6,FALSE,FALSE,TRUE,FALSE
423414,2020-11-19 13:50:47.443392 UTC,Praha,Malešice,11000,1+kk,40,1,1,C,2,2,TRUE,FALSE,TRUE,FALSE
634963,2020-11-19 14:23:38.568545 UTC,Olomouc,Bělidla,14500,2+kk,77,1,1,B,3,2,TRUE,FALSE,FALSE,FALSE
638852,2020-11-19 14:56:03.628154 UTC,Praha,Vinohrady,23116,3+1,85,0,0,,3,4,FALSE,FALSE,TRUE,FALSE
633658,2020-11-19 14:47:49.891165 UTC,Praha,Staré Město,15000,1+kk,55,0,0,,3,4,FALSE,FALSE,TRUE,FALSE
570692,2020-11-19 13:53:14.901136 UTC,Praha,Černý Most,12000,1+kk,37,1,1,,2,3,TRUE,FALSE,FALSE,FALSE
635036,2020-11-19 14:15:59.74066 UTC,Ledčice,,8500,2+kk,56,1,1,E,2,1,FALSE,FALSE,FALSE,FALSE
634203,2020-11-19 14:48:12.194261 UTC,Český Krumlov,,22500,1+kk,50,0,0,,3,3,FALSE,FALSE,FALSE,FALSE
633642,2020-11-19 14:25:44.508719 UTC,Praha,Vinohrady,36000,1+kk,45,0,0,,3,4,FALSE,FALSE,TRUE,FALSE
639397,2020-11-19 13:47:32.853262 UTC,Praha,Kobylisy,13500,2+kk,40,2,2,G,3,6,FALSE,FALSE,TRUE,FALSE
468640,2020-11-19 14:02:08.970703 UTC,Praha,Uhříněves,14000,2+kk,44,1,1,C,2,4,FALSE,TRUE,TRUE,TRUE
629296,2020-11-19 14:51:54.24136 UTC,Praha,Smíchov,19125,2+kk,56,0,0,,3,7,FALSE,FALSE,TRUE,TRUE
170555,2020-11-19 14:06:03.503693 UTC,Praha,Žižkov,23000,3+1,85,1,1,,3,6,TRUE,FALSE,TRUE,FALSE
625254,2020-11-19 14:05:43.860145 UTC,Praha,Podolí,12900,2+kk,45,1,1,G,3,0,FALSE,FALSE,TRUE,FALSE
624801,2020-11-19 14:17:22.45037 UTC,Praha,Břevnov,7000,1+kk,20,1,1,A,3,2,FALSE,FALSE,FALSE,FALSE
636344,2020-11-19 14:29:32.495964 UTC,Brno,Trnitá,13900,2+kk,58,1,1,C,3,5,TRUE,FALSE,TRUE,FALSE
627419,2020-11-19 14:27:33.918391 UTC,Praha,Staré Město,16125,2+kk,45,0,0,,3,3,FALSE,FALSE,FALSE,FALSE
634201,2020-11-19 13:50:39.248065 UTC,Český Krumlov,,22500,2+kk,60,0,0,,3,2,FALSE,FALSE,FALSE,FALSE
431597,2020-11-19 14:02:35.600767 UTC,Praha,Střížkov,11500,1+kk,28,0,1,,2,3,TRUE,FALSE,TRUE,FALSE
638764,2020-11-19 13:58:04.999132 UTC,Praha,Strašnice,21989,3+1,116,0,0,,3,4,FALSE,FALSE,FALSE,FALSE
639747,2020-11-19 13:56:13.391904 UTC,Havířov,Havířov-město,4600,1+1,32,1,1,D,2,3,FALSE,FALSE,FALSE,FALSE
638886,2020-11-19 13:55:26.940048 UTC,Brno,Staré Brno,15833,1+1,32,0,0,,3,5,FALSE,FALSE,TRUE,FALSE
600310,2020-11-19 14:41:14.240479 UTC,Praha,Malá Strana,18000,1+1,48,1,1,G,0,0,FALSE,FALSE,FALSE,FALSE
639763,2020-11-19 13:54:08.342329 UTC,Brno,Město Brno,20000,4+kk,100,1,1,D,2,1,FALSE,TRUE,FALSE,FALSE
375346,2020-11-19 14:44:16.592929 UTC,Praha,Holešovice,13800,2+kk,42,1,1,,2,2,FALSE,FALSE,FALSE,FALSE
639279,2020-11-19 14:55:58.217788 UTC,Hamr na Jezeře,,10000,2+kk,56,1,1,A,3,1,TRUE,FALSE,FALSE,FALSE
412206,2020-11-19 14:33:42.039664 UTC,Praha,Troja,14500,2+kk,56,1,1,,3,4,TRUE,TRUE,TRUE,FALSE
487253,2020-11-19 14:38:52.752889 UTC,Praha,Prosek,13000,2+kk,54,1,3,,3,3,TRUE,FALSE,TRUE,TRUE
633242,2020-11-19 14:47:35.071688 UTC,Praha,Nové Město,13800,1+kk,30,0,0,,3,1,FALSE,FALSE,FALSE,FALSE
