id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
639828,2020-11-19 00:30:06.997527 UTC,Praha,Troja,4800000,2+kk,46,1,1,C,3,1,false,false,true,true,""
539248,2020-06-04 13:00:08.616853 UTC,Praha,Jinonice,5128000,2+kk,54,1,0,"",1,4,false,false,false,false,""
572341,2020-06-04 06:30:13.385105 UTC,Červený Kostelec,"",2290000,2+kk,75,1,1,"",1,2,false,false,false,false,""
611394,2020-06-04 10:30:13.764808 UTC,Strunkovice nad Blanicí,"",850000,3+1,67,2,1,G,0,0,false,false,false,false,""
611391,2020-06-04 10:30:20.039659 UTC,Praha,Bubeneč,7250000,2+kk,62,1,1,A,0,5,false,false,true,false,""
610878,2020-06-04 12:30:23.542423 UTC,Praha,Uhříněves,3190000,1+kk,32,1,1,C,0,2,false,false,false,false,""
611362,2020-06-04 11:30:16.052524 UTC,Jesenice,Jesenice u Prahy,3990000,2+kk,41,1,1,B,0,0,false,true,false,false,""
611415,2020-06-04 12:30:12.698526 UTC,Praha,Radlice,5145000,2+kk,67,1,1,D,0,3,false,false,true,false,""
611420,2020-06-04 13:00:14.007316 UTC,Praha,Vinohrady,5690000,2+kk,44,1,1,D,0,2,false,false,false,false,""
611471,2020-06-04 17:30:08.688957 UTC,Praha,Vršovice,11900000,3+kk,127,1,1,G,0,7,false,true,false,false,""
569242,2020-06-04 05:30:15.674768 UTC,Kroměříž,"",2400000,3+1,75,1,2,"",1,4,false,false,false,false,""
611358,2020-06-04 07:30:20.022093 UTC,Plzeň,Doubravka,2300000,2+1,54,1,2,G,1,3,false,false,true,false,""
595412,2020-06-04 09:30:11.546846 UTC,Brno,Veveří,10000000,5+1,135,1,1,G,0,3,true,false,false,false,""
611461,2020-06-04 16:00:15.4813 UTC,Litoměřice,"",4490000,4+1,159,1,1,G,0,3,true,true,false,false,""
611357,2020-06-04 07:30:13.172754 UTC,Olomouc,Nový Svět u Olomouce,1750000,1+1,36,2,2,G,0,3,true,false,true,false,""
611390,2020-06-04 10:00:13.339446 UTC,Děčín,Děčín-Staré Město,1495000,2+1,65,1,2,C,0,3,true,false,false,false,""
611405,2020-06-04 12:00:15.62667 UTC,Praha,Černý Most,7499000,4+1,98,1,2,B,0,4,true,false,false,false,""
611097,2020-06-04 13:30:12.109464 UTC,Praha,Bohnice,5690000,3+kk,77,1,2,B,0,4,true,false,true,false,""
611454,2020-06-04 16:00:21.698881 UTC,Praha,Krč,5191004,3+kk,60,1,2,G,1,3,true,false,true,false,""
562273,2020-06-30 08:30:09.844332 UTC,Praha,Prosek,5400000,3+1,76,1,2,"",2,3,true,false,false,false,""
573646,2020-06-30 12:00:22.104061 UTC,Praha,Chodov,5780000,3+kk,82,1,2,C,2,1,true,false,false,false,""
615408,2020-06-30 18:00:12.234511 UTC,Praha,Cholupice,6250000,3+kk,66,1,1,C,3,3,false,false,false,true,""
613012,2020-06-30 12:00:17.145993 UTC,Ptice,"",6600000,4+kk,135,1,1,C,2,0,false,true,false,false,""
