nazev;adresa;psč,,,,
Mateřská škola;Absolonova 20a;624 00,,,,
Mateřská škola;Amerlingova 4;625 00,,,,
Mateřská škola;Bellova 2;623 00,,,,
Mateřská škola Pohádka;Běloruská 4/570;625 00,,,,
Mateřská škola;Bieblova 16;613 00,,,,
Mateřská škola;Bílého 24;602 00,,,,
Mateřská škola Sněhurka;Bořetická 26;628 00,,,,
Mateřská škola;Bořetická 7;629 00,,,,
Mateřská škola;Bosonožská 4;625 00,,,,
Mateřská škola;Božetěchova 65;612 00,,,,
Mateřská škola POHÁDKA, Brno, Bratří Pelíšků 7, příspěvková organizace;Bratří Pelíšků 7;628 00,
Mateřská škola;Brechtova 6;638 00,,,,
Mateřská škola,Brno,Bulharská 62,příspěvková organizace;Bulharská 62,;612 00
Mateřská škola Brno, Cihelní 1a, příspěvková organizace;Cihelní 1a/560;614 00,,
Mateřská škola;Černopolní 3a;613 00,,,,
Mateřská škola Kamarád, Brno, Čtvrtě 3, příspěvková organizace;Čtvrtě 3;634 00,
Mateřská škola, Brno, Dobrovského 66, příspěvková organizace;Dobrovského 66;612 00,
Mateřská škola Žabka;Drdy 25;641 00,,,,
Mateřská škola Oříšek Brno, Drozdí 210/2c, příspěvková organizace;Drozdí 210/2c;621 00,,
Mateřská škola Brno, Dubová 2, příspěvková organizace;Dubová 2;637 00,,
Mateřská škola, Brno, Elišky Krásnohorské 15, příspěvková organizace;Elišky Krásnohorské 15;618 00,
Mateřská škola, Brno, Fanderlíkova 9a, příspěvková organizace;Fanderlíkova 9a;616 00,
Mateřská škola Brno,Francouzská 50,příspěvková organizace;Francouzská 50;602 00,,
Mateřská škola;G. Preissové 8;616 00,,,,
Mateřská škola;Hatě 19;621 00,,,,
Mateřská škola,Brno,Herčíkova 21,příspěvková organizace;Herčíkova 21;612 00,
Mateřská škola Rozárka, Brno, Herčíkova 12, příspěvková organizace;Herčíkova 2477/12;612 00,
Mateřská škola;Hněvkovského 62;617 00,,,,
Mateřská škola, Brno, Hochmanova 25, p.o.;Hochmanova 25;628 00,
Mateřská škola Brno, Holásecká 11, příspěvková organizace;Holásecká 11;620 00,,
Mateřská škola ,,Na kopečku u zvonečku;Horní 17;639 00,,
Mateřská škola Brno, Hudcova 435/47, příspěvková organizace;Hudcova 435/47;621 00,,
Mateřská škola, Brno, Chodská 15, příspěvková organizace;Chodská 15;612 00,
Mateřská škola;Chodská 491/5;602 00,,,,
Mateřská škola Pastelky;Jamborova 11;615 00,,,,
Mateřská škola Brno, Jihomoravské nám. 5, p. o.;Jihomoravské nám. 5;627 00,,
Mateřská škola Brno, Jugoslávská 70, příspěvková organizace;Jugoslávská 70/627;613 00,,
Mateřská škola Zvídálek příspěvková organizace;Kachlíkova 17/1046;635 00,,,,
Mateřská škola Skřivánek;Kachlíkova 19;635 00,,,,
