,nazev,adresa,"psč,,,,",lat,lon
0,Mateřská škola,Absolonova 20a,"624 00,,,,",49.2194482,16.5585086
1,Mateřská škola,Amerlingova 4,"625 00,,,,",49.1677711,16.5781947
2,Mateřská škola,Bellova 2,"623 00,,,,",49.0802062,18.9313522
3,Mateřská škola Pohádka,Běloruská 4/570,"625 00,,,,",49.1702133,16.5805432
4,Mateřská škola,Bieblova 16,"613 00,,,,",49.2176474,16.6189409
5,Mateřská škola,Bílého 24,"602 00,,,,",49.1987779,16.5802695
6,Mateřská škola Sněhurka,Bořetická 26,"628 00,,,,",49.2020913,16.6623564
7,Mateřská škola,Bořetická 7,"629 00,,,,",49.2029633,16.6581675
8,Mateřská škola,Bosonožská 4,"625 00,,,,",49.1669366,16.55389746571794
9,Mateřská škola,Božetěchova 65,"612 00,,,,",49.2296982,16.592847
10,"Mateřská škola POHÁDKA, Brno, Bratří Pelíšků 7, příspěvková organizace",Bratří Pelíšků 7,"628 00,",49.2017065,16.6959903
11,Mateřská škola,Brechtova 6,"638 00,,,,",50.0359352,14.5154533
12,"Mateřská škola,Brno,Bulharská 62,příspěvková organizace","Bulharská 62,",612 00,49.2279172,16.5910845
13,"Mateřská škola Brno, Cihelní 1a, příspěvková organizace",Cihelní 1a/560,"614 00,,",49.2303237,16.6470853
14,Mateřská škola,Černopolní 3a,"613 00,,,,",49.201992,16.6176401
15,"Mateřská škola Kamarád, Brno, Čtvrtě 3, příspěvková organizace",Čtvrtě 3,"634 00,",49.1785034,16.560571
16,"Mateřská škola, Brno, Dobrovského 66, příspěvková organizace",Dobrovského 66,"612 00,",49.2190039,16.5901053
17,Mateřská škola Žabka,Drdy 25,"641 00,,,,",49.2099509,16.4882191
18,"Mateřská škola Oříšek Brno, Drozdí 210/2c, příspěvková organizace",Drozdí 210/2c,"621 00,,",49.2751626,16.6070657
19,"Mateřská škola Brno, Dubová 2, příspěvková organizace",Dubová 2,"637 00,,",49.2117328,16.5493374
