Název;Ulice;PSÈ
Základní škola a mateøská škola Brno;Antonínská 3;602 00
Základní škola ;Arménská 21;625 00
Základní škola;Bakalovo nábøeí 8;639 00
Základní škola;Bednáøova 28;619 00
Základní škola a Mateøská škola;Blanenská 1;621 00
Základní škola a Mateøská škola ;Brno Blakova 9;628 00
Základní škola;Bosonoská 9;625 00
Základní škola a Mateøská škola Brno, ;Bosonoské nám. 44;642 00
Základní škola Brno, Èejkovická 10, pøíspìvková organizace;Èejkovická 10;628 00
Základní škola a Mateøská škola;Elišky Pøemyslovny 10;625 00
Základní škola;Gajdošova 3;615 00
Základní škola;Hamry 576/12;614 00
Základní škola, Brno, Herèíkova 19;Herèíkova 19,Brno Královo Pole;612 00
Základní škola;Heyrovského 32;635 00
Základní škola;Holzova 1;628 00
Základní škola;Horácké námìstí 13;621 00
Základní škola a mateøská škola Brno, Horní 16, pøíspìvková organizace;Horní 16;639 00
Základní škola a mateøská škola;Horníkova 1;628 00
Základní škola Brno, Hroznová 1, pøíspìvková organizace;Hroznová 1;603 00
Základní škola Brno, Hudcova 35, pøíspìvková organizace;Hudcova 35;621 00
Základní škola a Mateøská škola;Husova 17;602 00
Základní škola a Mateøská škola Brno, Chalabalova 2, ;Chalabalova 575/2;623 00
Základní škola;Jana Babáka 1;616 00
Základní škola a Mateøská škola, Brno, Jana Broskvy 3, pøíspìvková organizace;Jana Broskvy 3;643 00
8Základní škola Brno;Janouškova 2/577;613 00
Základní škola a Mateøská škola Brno, námìstí Svornosti 7, pøíspìvková organizace;nám. Svornosti 7;637 00
Základní škola a mateøská škola Brno, Jihomoravské nám. 2;Jihomoravské nám. 2;627 00
Masarykova základní škola;Kamenaèky 3591/4;636 00
Základní škola;Kamínky 5;634 00
Základní škola, Brno, Kneslova 28, pøíspìvková organizace;Kneslova 28;618 00
Základní škola;Košinova 22;612 00
Základní škola a mateøská škola;Kotláøská 4;602 00
Základní škola;Krásného 24;636 00
Základní škola a mateøská škola Brno, Køenová 21, pøíspìvková organizace;Køenová 21;602 00
Základní škola a mateøská škola;Køídlovická 30b;603 00
Tyršova základní škola;Kuldova 38;615 00
Základní škola;Labská 27;625 00
Základní škola Brno;Laštùvkova 77;635 00
Základní škola Brno,Masarova 11, pøíspìvková organizace;Masarova 11;628 00
Základní škola a Mateøská škola Brno, Merhautova 37, pøíspìvková organizace;Merhautova 37;613 00
Základní škola;Mìšanská 21;620 00
Základní škola a Mateøská škola Brno, Milénova 14;Milénova 14;638 00
Základní škola;Mutìnická 23;628 00
Základní škola a mateøská škola;nám. 28.øíjna 22;602 00
Základní škola Brno, nám. Míru 3, pøíspìvková organizacenám. Míru 375/3;nám. 28.øíjna 22;602 00
Základní škola J. A. Komenského a Mateøská škola;nám. Republiky 10;614 00
Základní škola a Mateøská škola Brno, námìstí Svornosti 7, pøíspìvková organizacenám. ;Svornosti 7;616 00
Základní škola, Brno, Novolíšeòská 10, pøíspìvková organizace;Novolíšeòská 10/2411;628 00
Základní škola Brno, Novomìstská 21, pøíspìvková organizace;Novomìstská 21;621 00
Základní škola;Otevøená 20a;641 00
Základní škola a Mateøská škola Brno, Pastviny 70, ;Pastviny 70;624 00
Základní škola Brno;Pavlovská 16;623 00
Waldorfská základní škola a mateøská škola Brno, Plovdivská 8, pøíspìvková organizace;Plovdivská 8;616 00
Základní škola a mateøská škola Brno, pøíspìvková organizace;Pøemyslovo nám. 1;627 00
Základní škola, Brno, Øehoøova 3, pøíspìvková organizace;Øehoøova 3;618 00
Základní škola;Sirotkova 36;616 00
Základní škola;Slovanské nám. 2;612 00
Základní škola a Mateøská škola, Brno, Staòkova 14, pøíspìvková organizace;Staòkova 14;602 00
Základní škola;Sváná 9;634 00
Základní škola Brno;Tuháèkova 25;617 00
Základní škola;Úvoz 55;602 00
Základní škola a Mateøská škola;Vedlejší 10;625 00
Základní škola Brno, Vejrostova 1, pøíspìvková organizace;Vejrostova 1;635 00
Základní škola a Mateøská škola Brno, Zeiberlichova 49;Zeiberlichova 49;644 00
Masarykova základní škola a Mateøská škola Brno, Zemìdìlská 29, pøíspìvková organizace;Zemìdìlská 29;613 00
