název;
Střední škola technická a ekonomická Brno, Olomoucká, příspěvková organizace;Olomoucká 1140/61, Černovice, 627 00 Brno
Střední průmyslová škola Brno, Purkyňova, příspěvková organizace;Purkyňova 2832/97, Královo Pole, 612 00 Brno
Střední průmyslová škola a Vyšší odborná škola Brno, Sokolská, příspěvková organizace;Sokolská 366/1, Veveří, 602 00 Brno
Střední škola strojírenská a elektrotechnická Brno, příspěvková organizace;Trnkova 2482/113, Líšeň, 628 00 Brno
Gymnázium J. G. Mendela a jeho zařízení a Základní umělecká škola, š. p. o.;Mendlovo náměstí 1/4, Staré Brno, 603 00 Brno
I. Německé zemské gymnasium, základní škola a mateřská škola, o. p. s.;Mendlovo náměstí 1/3, Staré Brno, 603 00 Brno
Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b, Bosonohy, 642 00 Brno
AKADEMIA Gymnázium, Základní škola a Mateřská škola, s. r. o.;Rašelinová 2433/11, Líšeň, 628 00 Brno
Hotelová škola s. r. o.;Bosonožská 381/9, Starý Lískovec, 625 00 Brno
Střední odborná škola MORAVA o. p. s.;Řehořova 1165/5, Černovice, 618 00 Br
Integrovaná střední škola automobilní Brno, příspěvková organizace;Křižíkova 106/15, Královo Pole, 612 00 Brno
Gymnázium Brno-Řečkovice, příspěvková organizace;Terezy Novákové 936/2, Řečkovice, 621 00 Brno
Bezpečnostně právní akademie Brno, s. r. o., střední škola;Zoubkova 149/20, Nový Lískovec, 634 00 Brno
Církevní střední zdravotnická škola s. r. o.;Grohova 112/16, Veveří, 602 00 Brno
Obchodní akademie, Střední odborná škola knihovnická a Vyšší odborná škola Brno, příspěvková organizace;Kotlářská 263/9, Veveří, 602 00 Brno
Střední průmyslová škola stavební Brno, příspěvková organizace;Kudelova 1855/8, Černá Pole, 602 00 Brno
Střední škola polytechnická Brno, Jílová, příspěvková organizace;Jílová 164/36g, Štýřice, 639 00 Brno
Odborné učiliště a praktická škola Brno, příspěvková organizace;Lomená 530/44, Komárov, 617 00 Brno
Gymnázium Globe, s. r. o.;Bzenecká 4226/23, Židenice, 628 00 Brno
Mateřská škola, základní škola a střední škola Gellnerka Brno, příspěvková organizace;Gellnerova 66/1, Jundrov, 637 00 Brno
Obchodní akademie ELDO, o. p. s.;Střední 552/59, Ponava, 602 00 Brno
Střední odborná škola EDUCAnet Brno, o. p. s.;Arménská 573/21, Bohunice, 625 00 Brno
Střední průmyslová škola chemická Brno, Vranovská, příspěvková organizace;Vranovská 1364/65, Husovice, 614 00 Brno
Střední škola Brno, Charbulova, příspěvková organizace;Charbulova 1072/106, Černovice, 618 00 Brno
Střední škola Gemini Brno, příspěvková organizace;Vaculíkova 259/14, Lesná, 638 00 Brno
Střední škola informatiky, poštovnictví a finančnictví Brno, příspěvková organizace;Čichnova 982/23, Komín, 624 00 Brno
Střední škola KNIH, o. p. s.;Bzenecká 4226/23, Židenice, 628 00 Brno
Střední odborné učiliště tradičních řemesel a Vyšší odborná škola, spol. s r. o.;Střední 552/59, Ponava, 602 00 Brno
Střední škola F. D. Roosevelta Brno, příspěvková organizace;Křižíkova 1694/11, Královo Pole, 612 00 Brno
Střední zdravotnická škola Brno, Jaselská, příspěvková organizace;Jaselská 190/7, Veveří, 602 00 Brno
Biskupské gymnázium Brno a mateřská škola;Barvičova 666/85, Stránice, 602 00 Brno
Cyrilometodějské gymnázium a střední odborná škola pedagogická Brno;Lerchova 343/63, Stránice, 602 00 Brno
EKO GYMNÁZIUM BRNO o. p. s.;Labská 269/27, Starý Lískovec, 625 00 Brno
Gymnázium Brno, Elgartova, příspěvková organizace;Elgartova 689/3, Husovice, 614 00 Brno
Gymnázium Brno, Křenová, příspěvková organizace;Křenová 304/36, Trnitá, 602 00 Brno
Gymnázium Brno, Slovanské náměstí, příspěvková organizace;Slovanské náměstí 1804/7, Královo Pole, 612 00 Brno
Gymnázium Brno, třída Kapitána Jaroše, příspěvková organizace;třída Kpt. Jaroše 1829/14, Černá Pole, 602 00 Brno
Gymnázium Brno, Vídeňská, příspěvková organizace;Vídeňská 55/47, Štýřice, 639 00 Brno
Gymnázium Brno-Bystrc, příspěvková organizace;Vejrostova 1143/2, Bystrc, 635 00 Brno
Gymnázium Matyáše Lercha, Brno, Žižkova 55, příspěvková organizace;Žižkova 980/55, Veveří, 616 00 Brno
Gymnázium Mojmírovo náměstí s. r. o.;Mojmírovo náměstí 67/10, Královo Pole, 612 00 Brno
Gymnázium P. Křížkovského s uměleckou profilací, s. r. o.;Kristenova 58/27, Komín, 624 00 Brno
Moravské gymnázium Brno s. r. o.;Veveří 472/30, Veveří, 602 00 Brno
Sportovní gymnázium Ludvíka Daňka, Brno, Botanická 70, příspěvková organizace;Botanická 63/70, Ponava, 602 00 Brno
Konzervatoř Brno, příspěvková organizace;třída Kpt. Jaroše 1890/45, Černá Pole, 602 00 Brno
Střední odborná škola managementu a práva, s. r. o.;Cejl 60/61, Zábrdovice, 602 00 Brno
Střední škola grafická Brno, příspěvková organizace;Šmahova 364/110, Slatina, 627 00 Brno
Střední škola uměleckomanažerská, s. r. o.;Táborská 1297/185, Židenice, 615 00 Brno
Mateřská škola speciální, základní škola speciální a praktická škola Elpis Brno, příspěvková organizace;Koperníkova 803/2, Židenice, 615 00 Brno
Mateřská škola speciální, základní škola speciální a praktická škola Ibsenka Brno, příspěvková organizace;Ibsenova 114/1, Lesná, 638 00 Brno
Taneční konzervatoř Brno, příspěvková organizace;Nejedlého 375/3, Lesná, 638 00 Brno
Střední škola umění a designu a Vyšší odborná škola Brno, příspěvková organizace;Husova 537/10, Brno-město, 602 00 Brno
Střední škola, základní škola a mateřská škola pro zdravotně znevýhodněné, Brno, Kamenomlýnská 2;Kamenomlýnská 124/2, Pisárky, 603 00 Brno
Střední zdravotnická škola a Vyšší odborná škola zdravotnická Brno, Merhautova, příspěvková organizace;Merhautova 590/15, Černá Pole, 613 00 Brno
Střední zdravotnická škola Evangelické akademie;Šimáčkova 235/1, Líšeň, 628 00 Brno
TRIVIS – Střední škola veřejnoprávní Brno, s. r. o.;Dukelská třída 467/65, Husovice, 614 00 Brno
TRIVIS – Střední škola veterinární Emila Holuba Brno, s. r. o.;Dukelská třída 467/65, Husovice, 614 00 Brno
Základní škola a praktická škola Brno, Vídeňská, příspěvková organizace;Vídeňská 244/26, Štýřice, 639 00 Brno
