Název,Ulice,PSČ
Základní škola a mateřská škola Brno,Antonínská 3,602 00
Základní škola ,Arménská 21,625 00
Základní škola,Bakalovo nábřeží 8,639 00
Základní škola,Bednářova 28,619 00
Základní škola a Mateřská škola,Blanenská 1,621 00
Základní škola a Mateřská škola ,Brno Blažkova 9,628 00
Základní škola,Bosonožská 9,625 00
"Základní škola a Mateřská škola Brno, ",Bosonožské nám. 44,642 00
"Základní škola Brno, Čejkovická 10, příspěvková organizace",Čejkovická 10,628 00
Základní škola a Mateřská škola,Elišky Přemyslovny 10,625 00
Základní škola,Gajdošova 3,615 00
Základní škola,Hamry 576/12,614 00
"Základní škola, Brno, Herčíkova 19","Herčíkova 19,Brno Královo Pole",612 00
Základní škola,Heyrovského 32,635 00
Základní škola,Holzova 1,628 00
Základní škola,Horácké náměstí 13,621 00
"Základní škola a mateřská škola Brno, Horní 16, příspěvková organizace",Horní 16,639 00
Základní škola a mateřská škola,Horníkova 1,628 00
"Základní škola Brno, Hroznová 1, příspěvková organizace",Hroznová 1,603 00
"Základní škola Brno, Hudcova 35, příspěvková organizace",Hudcova 35,621 00
Základní škola a Mateřská škola,Husova 17,602 00
"Základní škola a Mateřská škola Brno, Chalabalova 2, ",Chalabalova 575/2,623 00
Základní škola,Jana Babáka 1,616 00
"Základní škola a Mateřská škola, Brno, Jana Broskvy 3, příspěvková organizace",Jana Broskvy 3,643 00
8Základní škola Brno,Janouškova 2/577,613 00
"Základní škola a Mateřská škola Brno, náměstí Svornosti 7, příspěvková organizace",nám. Svornosti 7,637 00
"Základní škola a mateřská škola Brno, Jihomoravské nám. 2",Jihomoravské nám. 2,627 00
Masarykova základní škola,Kamenačky 3591/4,636 00
Základní škola,Kamínky 5,634 00
"Základní škola, Brno, Kneslova 28, příspěvková organizace",Kneslova 28,618 00
Základní škola,Košinova 22,612 00
Základní škola a mateřská škola,Kotlářská 4,602 00
Základní škola,Krásného 24,636 00
"Základní škola a mateřská škola Brno, Křenová 21, příspěvková organizace",Křenová 21,602 00
Základní škola a mateřská škola,Křídlovická 30b,603 00
Tyršova základní škola,Kuldova 38,615 00
Základní škola,Labská 27,625 00
Základní škola Brno,Laštůvkova 77,635 00
"Základní škola Brno,Masarova 11, příspěvková organizace",Masarova 11,628 00
"Základní škola a Mateřská škola Brno, Merhautova 37, příspěvková organizace",Merhautova 37,613 00
Základní škola,Měšťanská 21,620 00
"Základní škola a Mateřská škola Brno, Milénova 14",Milénova 14,638 00
Základní škola,Mutěnická 23,628 00
Základní škola a mateřská škola,nám. 28.října 22,602 00
"Základní škola Brno, nám. Míru 3, příspěvková organizacenám. Míru 375/3",nám. 28.října 22,602 00
Základní škola J. A. Komenského a Mateřská škola,nám. Republiky 10,614 00
"Základní škola a Mateřská škola Brno, náměstí Svornosti 7, příspěvková organizacenám. ",Svornosti 7,616 00
"Základní škola, Brno, Novolíšeňská 10, příspěvková organizace",Novolíšeňská 10/2411,628 00
"Základní škola Brno, Novoměstská 21, příspěvková organizace",Novoměstská 21,621 00
Základní škola,Otevřená 20a,641 00
"Základní škola a Mateřská škola Brno, Pastviny 70, ",Pastviny 70,624 00
Základní škola Brno,Pavlovská 16,623 00
"Waldorfská základní škola a mateřská škola Brno, Plovdivská 8, příspěvková organizace",Plovdivská 8,616 00
"Základní škola a mateřská škola Brno, příspěvková organizace",Přemyslovo nám. 1,627 00
"Základní škola, Brno, Řehořova 3, příspěvková organizace",Řehořova 3,618 00
Základní škola,Sirotkova 36,616 00
Základní škola,Slovanské nám. 2,612 00
"Základní škola a Mateřská škola, Brno, Staňkova 14, příspěvková organizace",Staňkova 14,602 00
Základní škola,Svážná 9,634 00
Základní škola Brno,Tuháčkova 25,617 00
Základní škola,Úvoz 55,602 00
Základní škola a Mateřská škola,Vedlejší 10,625 00
"Základní škola Brno, Vejrostova 1, příspěvková organizace",Vejrostova 1,635 00
"Základní škola a Mateřská škola Brno, Zeiberlichova 49",Zeiberlichova 49,644 00
"Masarykova základní škola a Mateřská škola Brno, Zemědělská 29, příspěvková organizace",Zemědělská 29,613 00
