Název;Ulice/PSÈ;PSÈ
Základní škola a Mateøská škola;Blanenská 1;621 00
Základní škola a Mateøská škola Brno, Bosonožské nám. 44, pøíspìvková organizace;Bosonožské nám. 44;642 00
Základní škola a Mateøská škola Brno, Zeiberlichova 49;Zeiberlichova 49;644 00
Základní škola a mateøská škola Brno, Antonínská 3, pøíspìvková organizace;Antonínská 550/3;602 00
Základní škola a Mateøská škola Brno Blažkova 9, pøíspìvková organizace;Blažkova 9;638 00
Základní škola a Mateøská škola;Elišky Pøemyslovny 10;625 00
Základní škola a mateøská škola Brno, Horní 16, pøíspìvková organizace;Horní 16;639 00
Základní škola a mateøská škola;Horníkova 1;628 00
Základní škola a Mateøská škola;Husova 17;602 00
Základní škola a Mateøská škola Brno, Chalabalova 2, p. o.;Chalabalova 575/2;623 00
Základní škola a Mateøská škola, Brno, Jana Broskvy 3, pøíspìvková organizace;Jana Broskvy 3;643 00
Základní škola a mateøská škola Brno, Jihomoravské nám. 2;Jihomoravské nám. 2;627 00
Základní škola a mateøská škola;Kotláøská 4;602 00
Základní škola a mateøská škola Brno, Køenová 21, pøíspìvková organizace;Køenová 21;602 00
Základní škola a mateøská škola;Køídlovická 30b;603 00
Základní škola a Mateøská škola Brno, Merhautova 37, pøíspìvková organizace;Merhautova 37;613 00
Základní škola a Mateøská škola Brno, Milénova 14;Milénova 14;638 00
Základní škola a mateøská škola;nám. 28.øíjna 22;602 00
Základní škola J. A. Komenského a Mateøská škola;nám. Republiky 10;614 00
Základní škola a Mateøská škola Brno, námìstí Svornosti 7, pøíspìvková organizace;nám. Svornosti 7;616 00
Základní škola a Mateøská škola Brno, Pastviny 70, p. o.;Pastviny 70;624 00
Základní škola a mateøská škola Brno, pøíspìvková organizace;Pøemyslovo nám. 1;627 00
Základní škola a Mateøská škola, Brno, Staòkova 14, pøíspìvková organizace;Staòkova 14;602 00
Základní škola a Mateøská škola;Vedlejší 10;625 00
Masarykova základní škola a Mateøská škola Brno, Zemìdìlská 29, pøíspìvková organizace;Zemìdìlská 29;613 00
Waldorfská základní škola a mateøská škola Brno, Plovdivská 8, pøíspìvková organizace;Plovdivská 8;616 00
