nazev,adresa,katastralni_uzemi,puvodni_ucel,kontaminace,skladky,dostupnost_mhd,osvetleni,soudni_spor,restituce,exekuce,shape_length,shape_area
Území mezi ulicemi Cejl a Jana Svobody,ul. Jana Svobody,Zábrdovice,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.00605033972958405,1.37302616863342e-06
Bývalá skládka Švédské šance,"ul. Tuřanka, Průmyslová",Slatina,"Těžba surovin, likvidace odpadů",Ne,Ano,Ne,Ano,,,Ne,0.0105308592784102,6.49623350192429e-06
Železniční vlečka při Štýřickém nábřeží,"Vodařská, Štýřické nábřeží",Štýřice,Drážní plochy,Ne,Ne,Ne,Ano,,,Ne,0.00658296447627664,1.0079259655978399e-06
Areál BRIV,Tovární,Chrlice,Průmyslová výroba,Ne,Ne,Ne,Ne,,,Ano,0.008852664801847371,3.18808998729186e-06
Bývalý areál Aeroklubu,Olomoucká 164,Černovice,Vojenský prostor,Ne,Ne,Ne,Ano,,,Ne,0.0036462316552766205,7.9144656850899e-07
Bývalé dopravní středisko Vojtova,"Vojtova, Sobotkova",Štýřice,Jiné - služby,Ne,Ne,Ne,Ano,,,Ne,0.00538779900484477,1.39429050248262e-06
"Bývalý Centrokov, FINTREX",Kšírova,Horní Heršpice,Jiné - nespecifikované,Ano,Ano,Ne,Ne,,,Ne,0.00699129721539392,1.87354645077654e-06
Areál na Kraví hoře,Rybkova ul.,Veveří,Školské plochy,Ne,Ne,Ne,Ano,,,Ne,0.01722425920364,7.415047731874071e-06
Bývalá cihelna při ul. Rušná,Rušná,Bosonohy,"Těžba surovin, likvidace odpadů",Ne,Ano,Ne,Ano,,,Ne,0.0060397202432170794,1.7813815437033402e-06
Bývalé Středomoravské dřevařské závody,Holzova 2,Líšeň,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0043734436433027395,8.77284381630172e-07
Areál 1 při ulici Sportovní,"Rybníček, Sportovní, Střední",Ponava,Jiné - nespecifikované,Ne,Ne,Ano,Ano,,,Ne,0.00323890101105055,4.6249333736971505e-07
Bývalá slévárna Roučka,Tuřanka 115,Slatina,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ano,0.0132385603751982,7.893867791607091e-06
Bývalá židenická kasárna,Svatoplukova 84,Židenice,Vojenský prostor,Ne,Ne,Ano,Ano,,,Ne,0.00898099760816929,3.11431223990277e-06
Areál bývalého autovrakoviště,Borky,Maloměřice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.007772274408943291,3.36820098217973e-06
Seřazovací nádraží v Maloměřicích,"Kulkova, Hády",Maloměřice,Drážní plochy,Ne,Ne,Ne,Ano,,,Ne,0.0057978252375325105,1.00579584532525e-06
Bývalé garáže,"Pražákova, D1",Horní Heršpice,Jiné - nespecifikované,Ne,Ano,Ne,Ne,,,Ne,0.00901932558673591,2.33828915930683e-06
