obec,psc,okres,born,died,moved_in,moved_out,population,ppl_0_14,ppl_15_64,ppl_65,unemployment_ix
Zbýšov,62141,Brno-venkov,47,47,90,96,3840,601,2494,745,7.539683
Otmarov,62211,Brno-venkov,8,2,18,0,325,76,210,39,5.527638
Řícmanice,62161,Brno-venkov,10,8,22,31,778,145,488,145,5.050505
Zastávka,62141,Brno-venkov,23,67,98,84,2527,387,1551,589,6.368222
Ponětovice,62161,Brno-venkov,5,7,7,14,404,81,253,70,7.662835
Česká,62091,Brno-venkov,12,7,41,37,1005,168,656,181,3.7993919999999997
Nesvačilka,62211,Brno-venkov,4,4,16,10,328,43,236,49,6.034483
Říčky,62141,Brno-venkov,6,2,17,4,352,63,237,52,6.550218
Hajany,62161,Brno-venkov,8,6,20,20,404,71,262,71,3.333333
Kratochvilka,62141,Brno-venkov,5,6,7,8,466,69,313,84,7.8864350000000005
Velatice,62161,Brno-venkov,12,5,27,18,699,120,480,99,3.655914
Vohančice,62171,Brno-venkov,2,2,8,1,188,33,129,26,3.174603
Rozdrojovice,62091,Brno-venkov,7,3,46,18,986,180,647,159,3.785489
Popovice,62211,Brno-venkov,1,7,7,2,351,66,222,63,3.2110090000000002
Zbýšov,62151,Vyškov,6,5,14,7,625,135,421,69,3.309693
Březina (dříve okres Tišnov),62171,Brno-venkov,1,5,7,4,310,39,201,70,6.965174
Heroltice,62171,Brno-venkov,1,0,2,3,201,29,135,37,6.6666669999999995
Prace,62161,Brno-venkov,16,11,31,19,959,177,613,169,4.494382
Podbřežice,62192,Vyškov,2,1,7,4,249,38,168,43,4.347826
Kovalovice,62161,Brno-venkov,14,6,17,16,640,105,410,125,4.086538
Nebovidy,62161,Brno-venkov,17,4,37,10,737,147,499,91,2.68595
Lažany,62012,Blansko,4,3,3,12,421,64,288,69,6.040268
Rebešovice,62161,Brno-venkov,9,5,44,31,958,189,657,112,4.179567
Němčičky,62081,Brno-venkov,3,1,4,13,320,53,225,42,5.217391
Bukovina,62012,Blansko,3,3,29,11,389,83,252,54,2.469136
Vysoké Popovice,62141,Brno-venkov,11,6,34,20,697,127,443,127,4.195804
Hrušky,62151,Vyškov,11,11,15,12,771,133,501,137,3.937008
Blažovice,62161,Brno-venkov,22,8,31,14,1217,238,783,196,4.585987
Holasice,62211,Brno-venkov,15,8,36,19,1121,220,751,150,4.0927690000000005
Hostěrádky-Rešov,62151,Vyškov,10,6,17,19,848,127,564,157,4.409171
Unkovice,62211,Brno-venkov,6,10,27,12,724,113,490,121,3.5639410000000002
Ostopovice,62161,Brno-venkov,19,22,58,47,1646,286,1036,324,4.255319
Pravlov,62081,Brno-venkov,5,4,11,10,582,91,399,92,9.296482000000001
Dražovice,62051,Vyškov,5,7,21,7,904,156,600,148,2.66223
Ráječko,62012,Blansko,18,12,30,34,1306,190,904,212,5.0865800000000005
Rudice,62012,Blansko,14,7,32,13,969,202,592,175,4.310345
Němčany,62151,Vyškov,7,6,40,24,799,142,512,145,4.085603
Braníškov,62171,Brno-venkov,3,5,2,3,196,36,127,33,3.968254
Rašovice,62051,Vyškov,10,5,27,16,680,120,450,110,5.168539
Chudčice,62091,Brno-venkov,11,9,39,17,939,176,621,142,4.8939639999999995
Lesní Hluboké,62141,Brno-venkov,3,1,6,8,221,37,144,40,4.285714
Trboušany,62081,Brno-venkov,2,4,8,9,366,60,247,59,3.238866
Hvozdec,62091,Brno-venkov,5,1,7,7,303,48,208,47,5.7692309999999996
Všechovice,62171,Brno-venkov,1,2,14,5,241,41,162,38,7.142857000000001
Nové Bránice,62081,Brno-venkov,11,3,10,20,723,116,475,132,3.696099
Kupařovice,62081,Brno-venkov,2,4,8,5,278,43,210,25,5.6338029999999995
Ledce,62211,Brno-venkov,0,4,8,5,210,29,140,41,5.6737589999999996
Moutnice,62211,Brno-venkov,7,18,29,27,1170,178,801,191,3.7174720000000003
Velešovice,62151,Vyškov,13,11,33,32,1257,223,847,187,4.127358
Krasová,62012,Blansko,8,2,18,6,366,74,232,60,6.140351
Židlochovice,62211,Brno-venkov,57,28,119,110,3773,690,2395,688,4.021559
Křižanovice,62051,Vyškov,6,5,37,15,792,131,522,139,4.6511629999999995
Hradčany,62171,Brno-venkov,9,2,10,8,634,98,419,117,6.921241
Tučapy,62192,Vyškov,8,1,6,10,552,80,363,109,2.949062
Mělčany,62081,Brno-venkov,3,8,6,14,479,73,324,82,3.8922160000000003
Syrovice,62211,Brno-venkov,27,12,96,56,1597,372,1037,188,5.626851
Rudka,62141,Brno-venkov,6,1,15,9,366,55,244,67,5.8333330000000005
Kobylnice,62161,Brno-venkov,15,11,41,25,1077,209,692,176,3.913043
Rajhradice,62211,Brno-venkov,17,17,40,17,1378,237,942,199,4.670913
Radostice,62161,Brno-venkov,8,8,20,14,775,122,519,134,3.883495
Bratčice,62211,Brno-venkov,7,2,21,19,712,92,501,119,2.761341
Viničné Šumice,62161,Brno-venkov,11,12,62,25,1319,260,870,189,4.0
Babice u Rosic,62141,Brno-venkov,4,7,19,19,736,147,480,109,3.797468
Opatovice,62211,Brno-venkov,14,5,32,28,1094,180,723,191,5.241379
Malešovice,62131,Brno-venkov,13,4,29,16,598,129,409,60,3.4739449999999996
Komořany,62192,Vyškov,4,6,15,18,694,95,487,112,3.636364
Domašov,62141,Brno-venkov,8,7,25,16,631,102,429,100,5.787037000000001
Maršov,62171,Brno-venkov,8,7,8,8,497,84,333,80,6.042296
Lelekovice,62091,Brno-venkov,15,20,60,39,1842,329,1178,335,4.1702129999999995
Čebín,62091,Brno-venkov,18,20,73,43,1775,328,1150,297,5.701754
Holubice,62151,Vyškov,23,11,66,29,1107,228,723,156,4.0057220000000004
Nížkovice,62151,Vyškov,8,7,17,24,690,97,467,126,4.487179
Sobotovice,62211,Brno-venkov,6,6,12,3,548,89,370,89,5.722071
Telnice,62161,Brno-venkov,25,6,50,18,1593,285,1058,250,4.830918
Jiříkovice,62161,Brno-venkov,11,7,29,16,893,152,599,142,4.507512999999999
Silůvky,62161,Brno-venkov,8,11,14,11,826,118,551,157,4.007286
Neslovice,62081,Brno-venkov,9,6,18,27,893,136,618,139,6.138934
Křenovice,62151,Vyškov,9,12,35,43,1901,301,1295,305,4.996157
Vážany nad Litavou,62151,Vyškov,9,5,18,20,714,117,479,118,4.402516
Otnice,62151,Vyškov,12,15,47,38,1521,258,1020,243,3.3138400000000003
Habrůvka,62012,Blansko,8,4,17,4,428,90,262,76,6.818182000000001
Medlov,62211,Brno-venkov,6,8,54,11,759,126,511,122,6.451613
Šaratice,62151,Vyškov,21,9,36,20,1043,188,677,178,5.0746269999999996
Čučice,62081,Brno-venkov,5,6,2,13,414,62,267,85,3.676471
Hodějice,62151,Vyškov,14,9,44,14,969,151,636,182,2.100162
Svinošice,62012,Blansko,6,5,13,8,352,72,227,53,4.12844
Vojkovice,62211,Brno-venkov,12,10,28,25,1149,193,746,210,3.289474
Přísnotice,62211,Brno-venkov,7,15,28,11,866,128,576,162,4.49827
Habrovany,62192,Vyškov,11,13,16,20,831,134,551,146,3.1971580000000004
Troubsko,62161,Brno-venkov,30,15,85,79,2226,370,1510,346,3.6939309999999996
Podolí,62161,Brno-venkov,16,7,49,24,1426,266,913,247,2.744237
Šebrov-Kateřina,62012,Blansko,5,5,21,17,796,161,499,136,6.048387
Sivice,62161,Brno-venkov,16,10,19,17,1059,178,702,179,3.225806
Milešovice,62151,Vyškov,9,9,9,11,682,125,440,117,5.790646
